"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6918.1,1.6e-10,30,0.22472,0,0.24941,0.015905,0.029411,0.0053703,1624.2,0.030494,0,3.5459e-13,1.2669e-15,0,7.0238,6.5643,0.08961,66.088,37.128,0.84316,6.4439,6.0224,0.082212,0,0.26143,20.893,20.893,2.9215e-07,1.4192,1.6425e-05,2.0368e-07,1.015,1,0,0.0015,0,5e-06
6918.1,1.6e-10,27.895,0.22476,0,0.24941,0.015904,0.029412,0.0053708,1624.2,0.030497,0,5.1704e-13,3.0277e-15,0,7.0238,6.5643,0.08961,66.088,37.128,0.84316,6.4439,6.0224,0.082212,0,0.26143,20.863,20.893,2.9215e-07,1.3917,1.6107e-05,2.0368e-07,1.015,1,3e-06,0.0015,3e-06,5e-06
6918.1,1.6e-10,25.791,0.2248,0,0.24941,0.015904,0.029413,0.0053713,1624.2,0.030501,0,6.7948e-13,4.7884e-15,0,7.0238,6.5643,0.08961,66.088,37.128,0.84316,6.4439,6.0224,0.082212,0,0.26143,20.834,20.893,2.9215e-07,1.3642,1.5789e-05,2.0368e-07,1.015,1,6e-06,0.0015,6e-06,5e-06
6918,1.6e-10,23.993,0.22488,0,0.24941,0.015903,0.029414,0.0053723,1624.2,0.030509,0,9.2864e-13,8.7851e-15,0,7.0238,6.5643,0.08961,66.088,37.128,0.84316,6.4439,6.0224,0.082212,0,0.26143,20.804,20.893,2.9215e-07,1.3383,1.5489e-05,2.0368e-07,1.015,1,9e-06,0.0015,9e-06,5e-06
6918,1.6e-10,22.502,0.225,0,0.24941,0.015901,0.029417,0.0053738,1624.2,0.03052,0,1.2645e-12,1.5018e-14,0,7.0238,6.5643,0.08961,66.087,37.128,0.84315,6.4439,6.0224,0.082212,0,0.26143,20.774,20.893,2.9215e-07,1.3139,1.5208e-05,2.0367e-07,1.015,1,1.2e-05,0.0015,1.2e-05,5e-06
6918,1.6e-10,21.011,0.22511,0,0.24941,0.015899,0.02942,0.0053752,1624.2,0.030531,0,1.6004e-12,2.1251e-14,0,7.0238,6.5643,0.08961,66.087,37.128,0.84315,6.4439,6.0224,0.082212,0,0.26143,20.745,20.893,2.9215e-07,1.2896,1.4926e-05,2.0367e-07,1.015,1,1.5e-05,0.0015,1.5e-05,5e-06
6918,1.6e-10,19.895,0.2253,0,0.24941,0.015896,0.029424,0.0053776,1624.2,0.030549,0,1.9511e-12,3.1145e-14,0,7.0238,6.5643,0.08961,66.087,37.127,0.84314,6.4439,6.0224,0.082212,0,0.26143,20.715,20.893,2.9215e-07,1.2669,1.4663e-05,2.0367e-07,1.015,1,1.8e-05,0.0015,1.8e-05,5e-06
6917.9,1.6e-10,18.779,0.22549,0,0.2494,0.015894,0.029428,0.00538,1624.2,0.030568,0,2.3018e-12,4.1039e-14,0,7.0238,6.5643,0.08961,66.086,37.127,0.84314,6.4439,6.0223,0.082212,0,0.26143,20.685,20.893,2.9215e-07,1.2442,1.4401e-05,2.0366e-07,1.015,1,2.1e-05,0.0015,2.1e-05,5e-06
6917.9,1.6e-10,17.773,0.22572,0,0.2494,0.01589,0.029433,0.0053828,1624.1,0.03059,0,2.6548e-12,5.3223e-14,0,7.0238,6.5643,0.08961,66.086,37.127,0.84313,6.4439,6.0223,0.082212,0,0.26143,20.656,20.894,2.9215e-07,1.2219,1.4143e-05,2.0366e-07,1.015,1,2.4e-05,0.0015,2.4e-05,5e-06
6917.8,1.6e-10,16.877,0.22598,0,0.2494,0.015887,0.029439,0.005386,1624.1,0.030615,0,3.0102e-12,6.7696e-14,0,7.0238,6.5643,0.08961,66.085,37.127,0.84313,6.4439,6.0223,0.082212,0,0.26143,20.626,20.894,2.9215e-07,1.2,1.3889e-05,2.0365e-07,1.0149,1,2.7e-05,0.0015,2.7e-05,5e-06
6917.7,1.6e-10,15.981,0.22624,0,0.24939,0.015883,0.029444,0.0053893,1624.1,0.030641,0,3.3656e-12,8.2169e-14,0,7.0238,6.5643,0.08961,66.085,37.126,0.84312,6.4439,6.0223,0.082212,0,0.26143,20.596,20.894,2.9215e-07,1.1781,1.3635e-05,2.0364e-07,1.0149,1,3e-05,0.0015,3e-05,5e-06
6917.7,1.6e-10,15.233,0.22657,0,0.24939,0.015878,0.029451,0.0053934,1624.1,0.030673,0,3.7156e-12,1.0056e-13,0,7.0238,6.5643,0.08961,66.084,37.126,0.84311,6.4439,6.0223,0.082212,0,0.26143,20.567,20.894,2.9215e-07,1.1564,1.3385e-05,2.0363e-07,1.0149,1,3.3e-05,0.0015,3.3e-05,5e-06
6917.6,1.6e-10,14.484,0.2269,0,0.24938,0.015873,0.029459,0.0053975,1624.1,0.030705,0,4.0656e-12,1.1895e-13,0,7.0237,6.5642,0.08961,66.083,37.126,0.8431,6.4439,6.0223,0.082212,0,0.26143,20.537,20.894,2.9215e-07,1.1348,1.3135e-05,2.0363e-07,1.0149,1,3.6e-05,0.0015,3.6e-05,5e-06
6917.5,1.6e-10,13.791,0.22726,0,0.24938,0.015868,0.029467,0.005402,1624.1,0.03074,0,4.4087e-12,1.3976e-13,0,7.0237,6.5642,0.08961,66.083,37.125,0.84309,6.4439,6.0223,0.082212,0,0.26143,20.507,20.894,2.9215e-07,1.1133,1.2885e-05,2.0362e-07,1.0149,1,3.9e-05,0.0015,3.9e-05,5e-06
6917.4,1.6e-10,13.153,0.22765,0,0.24937,0.015862,0.029475,0.0054069,1624.1,0.030779,0,4.7448e-12,1.63e-13,0,7.0237,6.5642,0.08961,66.082,37.125,0.84308,6.4439,6.0223,0.082212,0,0.26143,20.478,20.894,2.9215e-07,1.0919,1.2638e-05,2.0361e-07,1.0149,1,4.2e-05,0.0015,4.2e-05,5e-06
