"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7003.7,1.6e-10,80,0.33139,0.00019435,0.20242,0.017095,0.022535,0.0036945,1589.5,0.09815,0,-3.2731e-12,1.4675e-15,0,9.9272,9.2778,0.12665,66.906,37.588,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.573,19.573,8.6668e-08,1.7405e-05,6.8892e-07,1.0047,1,0,0.0015,0,5e-06
7003.7,1.6e-10,74.364,0.33144,0.00019433,0.20242,0.017094,0.022536,0.0036951,1589.5,0.098157,0,-3.7115e-12,1.4647e-15,0,9.9272,9.2778,0.12665,66.906,37.588,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.543,19.573,8.6668e-08,1.7252e-05,6.8892e-07,1.0047,1,3e-06,0.0015,3e-06,5e-06
7003.7,1.6e-10,68.728,0.33148,0.00019431,0.20242,0.017094,0.022537,0.0036957,1589.5,0.098165,0,-4.15e-12,1.462e-15,0,9.9272,9.2778,0.12665,66.906,37.588,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.513,19.573,8.6668e-08,1.71e-05,6.8892e-07,1.0047,1,6e-06,0.0015,6e-06,5e-06
7003.7,1.6e-10,63.916,0.33156,0.00019426,0.20242,0.017092,0.022539,0.0036968,1589.5,0.098179,0,-4.5254e-12,6.9296e-15,0,9.9272,9.2778,0.12665,66.906,37.587,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.484,19.573,8.6668e-08,1.6953e-05,6.8891e-07,1.0047,1,9e-06,0.0015,9e-06,5e-06
7003.7,1.6e-10,59.929,0.33169,0.00019419,0.20242,0.01709,0.022542,0.0036984,1589.5,0.098201,0,-4.8377e-12,1.7868e-14,0,9.9272,9.2778,0.12665,66.905,37.587,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.455,19.573,8.6668e-08,1.6812e-05,6.8891e-07,1.0047,1,1.2e-05,0.0015,1.2e-05,5e-06
7003.6,1.6e-10,55.942,0.33182,0.00019412,0.20242,0.017087,0.022545,0.0037001,1589.5,0.098222,0,-5.15e-12,2.8806e-14,0,9.9272,9.2777,0.12665,66.905,37.587,0.85359,1.9138,1.7886,0.024416,0,0.27772,19.425,19.574,8.6667e-08,1.6671e-05,6.8891e-07,1.0047,1,1.5e-05,0.0015,1.5e-05,5e-06
7003.6,1.6e-10,52.959,0.33203,0.000194,0.20242,0.017083,0.022549,0.0037028,1589.5,0.098258,0,-4.619e-12,6.4682e-14,0,9.9272,9.2777,0.12665,66.905,37.587,0.85358,1.9138,1.7886,0.024416,0,0.27772,19.396,19.574,8.6667e-08,1.6533e-05,6.889e-07,1.0046,1,1.8e-05,0.0015,1.8e-05,5e-06
7003.6,1.6e-10,49.976,0.33224,0.00019388,0.20242,0.017079,0.022554,0.0037056,1589.5,0.098294,0,-4.088e-12,1.0056e-13,0,9.9271,9.2777,0.12665,66.905,37.587,0.85358,1.9138,1.7886,0.024416,0,0.27772,19.367,19.575,8.6667e-08,1.6395e-05,6.889e-07,1.0046,1,2.1e-05,0.0015,2.1e-05,5e-06
7003.5,1.6e-10,47.288,0.33249,0.00019374,0.20242,0.017075,0.02256,0.0037089,1589.5,0.098337,0,-3.3849e-12,1.5126e-13,0,9.9271,9.2777,0.12665,66.904,37.587,0.85357,1.9138,1.7886,0.024416,0,0.27772,19.338,19.576,8.6666e-08,1.6256e-05,6.8889e-07,1.0046,1,2.4e-05,0.0015,2.4e-05,5e-06
7003.5,1.6e-10,44.894,0.33278,0.00019358,0.20242,0.017069,0.022566,0.0037127,1589.5,0.098387,0,-2.5097e-12,2.1678e-13,0,9.9271,9.2777,0.12665,66.904,37.586,0.85357,1.9138,1.7886,0.024416,0,0.27772,19.309,19.576,8.6666e-08,1.6116e-05,6.8889e-07,1.0046,1,2.7e-05,0.0015,2.7e-05,5e-06
