"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7283.1,1.6e-10,80,0.073403,0.00055858,0.23031,0.020712,0.020655,0.0015818,1582.8,0.014592,0,-2.7107e-13,1.776e-15,0,4.7278,4.4185,0.060318,69.575,39.087,0.88764,5.2883,4.9423,0.067469,0,0.18811,21.708,21.708,2.3975e-07,1.5172e-05,3.7111e-07,1.0154,1,0,0.0015,0,5e-06
7283.1,1.6e-10,74.235,0.073441,0.00055858,0.23031,0.020712,0.020656,0.0015823,1582.8,0.014597,0,-2.7606e-13,5.973e-15,0,4.7278,4.4185,0.060318,69.575,39.087,0.88764,5.2883,4.9423,0.067469,0,0.18811,21.678,21.708,2.3975e-07,1.5036e-05,3.7111e-07,1.0154,1,3e-06,0.0015,3e-06,5e-06
7283,1.6e-10,68.47,0.07348,0.00055858,0.23031,0.020711,0.020656,0.0015828,1582.8,0.014603,0,-2.8104e-13,1.017e-14,0,4.7278,4.4185,0.060318,69.575,39.087,0.88764,5.2883,4.9423,0.067469,0,0.18811,21.648,21.708,2.3975e-07,1.49e-05,3.7111e-07,1.0154,1,6e-06,0.0015,6e-06,5e-06
7283,1.6e-10,63.556,0.073556,0.00055858,0.23031,0.02071,0.020658,0.0015837,1582.8,0.014614,0,-2.5882e-13,1.8135e-14,0,4.7278,4.4185,0.060318,69.574,39.087,0.88764,5.2883,4.9423,0.067469,0,0.18811,21.619,21.708,2.3975e-07,1.4771e-05,3.7111e-07,1.0154,1,9e-06,0.0015,9e-06,5e-06
7283,1.6e-10,59.495,0.073671,0.00055858,0.2303,0.020708,0.020661,0.0015852,1582.8,0.01463,0,-2.0941e-13,2.9867e-14,0,4.7278,4.4185,0.060318,69.574,39.087,0.88764,5.2883,4.9423,0.067469,0,0.18811,21.589,21.708,2.3975e-07,1.4648e-05,3.7111e-07,1.0154,1,1.2e-05,0.0015,1.2e-05,5e-06
7283,1.6e-10,55.434,0.073785,0.00055859,0.2303,0.020705,0.020663,0.0015867,1582.8,0.014646,0,-1.5999e-13,4.1599e-14,0,4.7278,4.4185,0.060318,69.574,39.086,0.88763,5.2883,4.9423,0.067469,0,0.18811,21.56,21.708,2.3975e-07,1.4525e-05,3.711e-07,1.0154,1,1.5e-05,0.0015,1.5e-05,5e-06
7282.9,1.6e-10,52.407,0.073975,0.00055859,0.2303,0.020702,0.020667,0.0015891,1582.8,0.014673,0,-2.8496e-14,5.9343e-14,0,4.7278,4.4185,0.060318,69.573,39.086,0.88763,5.2883,4.9423,0.067469,0,0.1881,21.53,21.708,2.3975e-07,1.4408e-05,3.711e-07,1.0154,1,1.8e-05,0.0015,1.8e-05,5e-06
7282.9,1.6e-10,49.381,0.074164,0.00055859,0.2303,0.020699,0.020672,0.0015915,1582.8,0.0147,0,1.03e-13,7.7087e-14,0,4.7278,4.4185,0.060318,69.573,39.086,0.88762,5.2883,4.9423,0.067469,0,0.1881,21.5,21.709,2.3975e-07,1.429e-05,3.7109e-07,1.0154,1,2.1e-05,0.0015,2.1e-05,5e-06
7282.8,1.6e-10,46.656,0.07439,0.0005586,0.2303,0.020694,0.020677,0.0015944,1582.7,0.014732,0,2.4762e-13,9.6987e-14,0,4.7278,4.4185,0.060318,69.573,39.086,0.88762,5.2883,4.9423,0.067468,0,0.1881,21.471,21.709,2.3975e-07,1.4173e-05,3.7109e-07,1.0154,1,2.4e-05,0.0015,2.4e-05,5e-06
7282.8,1.6e-10,44.235,0.074652,0.0005586,0.23029,0.02069,0.020682,0.0015977,1582.7,0.014769,0,4.0538e-13,1.1904e-13,0,4.7278,4.4185,0.060318,69.572,39.085,0.88761,5.2883,4.9423,0.067468,0,0.1881,21.441,21.709,2.3975e-07,1.4056e-05,3.7108e-07,1.0154,1,2.7e-05,0.0015,2.7e-05,5e-06
7282.7,1.6e-10,41.813,0.074914,0.00055861,0.23029,0.020685,0.020688,0.0016011,1582.7,0.014806,0,5.6315e-13,1.411e-13,0,4.7278,4.4185,0.060318,69.571,39.085,0.8876,5.2883,4.9423,0.067468,0,0.1881,21.412,21.709,2.3975e-07,1.3939e-05,3.7107e-07,1.0154,1,3e-05,0.0015,3e-05,5e-06
7282.6,1.6e-10,39.797,0.075248,0.00055861,0.23029,0.020679,0.020695,0.0016053,1582.7,0.014854,0,7.197e-13,1.6596e-13,0,4.7278,4.4185,0.060318,69.571,39.085,0.88759,5.2882,4.9423,0.067468,0,0.1881,21.382,21.709,2.3975e-07,1.382e-05,3.7106e-07,1.0154,1,3.3e-05,0.0015,3.3e-05,5e-06
7282.6,1.6e-10,37.781,0.075582,0.00055862,0.23028,0.020673,0.020703,0.0016096,1582.7,0.014901,0,8.7625e-13,1.9082e-13,0,4.7278,4.4185,0.060317,69.57,39.084,0.88758,5.2882,4.9423,0.067468,0,0.1881,21.353,21.709,2.3975e-07,1.3701e-05,3.7105e-07,1.0154,1,3.6e-05,0.0015,3.6e-05,5e-06
7282.5,1.6e-10,35.917,0.075952,0.00055862,0.23028,0.020666,0.020711,0.0016143,1582.7,0.014954,0,1.0266e-12,2.165e-13,0,4.7278,4.4185,0.060317,69.569,39.084,0.88757,5.2882,4.9423,0.067468,0,0.1881,21.323,21.709,2.3975e-07,1.358e-05,3.7105e-07,1.0154,1,3.9e-05,0.0015,3.9e-05,5e-06
7282.4,1.6e-10,34.206,0.076356,0.00055863,0.23027,0.020659,0.02072,0.0016194,1582.7,0.015011,0,1.1706e-12,2.4301e-13,0,4.7277,4.4184,0.060317,69.568,39.083,0.88756,5.2882,4.9422,0.067468,0,0.1881,21.293,21.709,2.3975e-07,1.3457e-05,3.7103e-07,1.0153,1,4.2e-05,0.0015,4.2e-05,5e-06
7282.3,1.6e-10,32.494,0.07676,0.00055864,0.23027,0.020652,0.020729,0.0016246,1582.6,0.015069,0,1.3147e-12,2.6952e-13,0,4.7277,4.4184,0.060317,69.567,39.083,0.88755,5.2882,4.9422,0.067467,0,0.1881,21.264,21.709,2.3975e-07,1.3334e-05,3.7102e-07,1.0153,1,4.5e-05,0.0015,4.5e-05,5e-06
7282.2,1.6e-10,31.025,0.077233,0.00055865,0.23026,0.020643,0.020739,0.0016306,1582.6,0.015136,0,1.4417e-12,2.9698e-13,0,4.7277,4.4184,0.060317,69.566,39.082,0.88753,5.2882,4.9422,0.067467,0,0.1881,21.234,21.709,2.3975e-07,1.3207e-05,3.7101e-07,1.0153,1,4.8e-05,0.0015,4.8e-05,5e-06
