"D_X","E850","SAC","SI","SIC","SIP","SS","XI_VS","XI_alpha","XPB","XPB_VS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,3,0.74544,0.21534,0.0028736,0.013757,0.1574,14.639,0.19984,56.787,31.903,6.0168,0,20.063,20.063,2.9191e-07,4.407e-06,8.0731e-08,1.0065,1,0,0.0015,0,5e-06
1.728e-11,2.8055,0.74545,0.21534,0.0028734,0.013757,0.1574,14.639,0.19983,56.787,31.903,6.0168,0,20.033,20.063,2.9191e-07,4.166e-06,8.0729e-08,1.0065,1,3e-06,0.0015,3e-06,5e-06
1.728e-11,2.611,0.74546,0.21534,0.0028732,0.013757,0.1574,14.639,0.19983,56.787,31.903,6.0168,0,20.003,20.063,2.9191e-07,3.925e-06,8.0727e-08,1.0065,1,6e-06,0.0015,6e-06,5e-06
1.728e-11,2.4438,0.74548,0.21534,0.0028729,0.013757,0.15741,14.639,0.19983,56.786,31.902,6.0168,0,19.974,20.063,2.9191e-07,3.7123e-06,8.0722e-08,1.0065,1,9e-06,0.0015,9e-06,5e-06
1.728e-11,2.3038,0.74551,0.21534,0.0028723,0.013758,0.15741,14.639,0.19983,56.786,31.902,6.0168,0,19.944,20.063,2.9191e-07,3.5277e-06,8.0715e-08,1.0064,1,1.2e-05,0.0015,1.2e-05,5e-06
1.728e-11,2.1637,0.74554,0.21533,0.0028718,0.013758,0.15742,14.639,0.19983,56.785,31.902,6.0167,0,19.914,20.063,2.9191e-07,3.3431e-06,8.0708e-08,1.0064,1,1.5e-05,0.0015,1.5e-05,5e-06
1.728e-11,2.0577,0.74559,0.21533,0.0028709,0.013759,0.15743,14.639,0.19983,56.784,31.901,6.0167,0,19.885,20.063,2.9191e-07,3.1949e-06,8.0698e-08,1.0064,1,1.8e-05,0.0015,1.8e-05,5e-06
1.728e-11,1.9517,0.74563,0.21533,0.0028701,0.013759,0.15744,14.638,0.19983,56.783,31.901,6.0167,0,19.855,20.063,2.919e-07,3.0468e-06,8.0687e-08,1.0064,1,2.1e-05,0.0015,2.1e-05,5e-06
1.728e-11,1.8557,0.74568,0.21533,0.0028691,0.01376,0.15745,14.638,0.19983,56.782,31.9,6.0167,0,19.825,20.063,2.919e-07,2.9099e-06,8.0675e-08,1.0064,1,2.4e-05,0.0015,2.4e-05,5e-06
1.728e-11,1.7697,0.74575,0.21532,0.0028679,0.013761,0.15746,14.638,0.19983,56.781,31.899,6.0167,0,19.796,20.063,2.919e-07,2.7841e-06,8.0661e-08,1.0064,1,2.7e-05,0.0015,2.7e-05,5e-06
1.728e-11,1.6837,0.74581,0.21532,0.0028668,0.013762,0.15748,14.638,0.19983,56.779,31.899,6.0166,0,19.766,20.063,2.919e-07,2.6584e-06,8.0647e-08,1.0064,1,3e-05,0.0015,3e-05,5e-06
