"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6903.7,1.728e-11,0.018283,0.66898,0.00031824,0.21156,0.005856,0.041879,0.011711,1601,0.14653,0,2.668e-13,1.7844e-14,0,6.8937,6.4427,0.08795,65.951,37.051,0.8414,5.8977,5.5118,0.075243,0,0.25114,-0.030133,32.865,32.865,2.674e-07,-3.4877e-07,2.5908e-07,1.0046,1,0,0.0015,0,5e-06
6903.7,1.728e-11,0.018762,0.66898,0.00031821,0.21156,0.005856,0.041879,0.01171,1601,0.14653,0,3.4065e-13,5.7764e-14,0,6.8937,6.4427,0.08795,65.951,37.051,0.84141,5.8977,5.5118,0.075243,0,0.25114,-0.03003,32.836,32.866,2.674e-07,-3.4757e-07,2.5908e-07,1.0046,1,3e-06,0.0015,3e-06,5e-06
6903.7,1.728e-11,0.019242,0.66898,0.00031818,0.21156,0.005856,0.041879,0.01171,1601,0.14653,0,4.145e-13,9.7684e-14,0,6.8936,6.4427,0.08795,65.951,37.051,0.84141,5.8977,5.5118,0.075243,0,0.25114,-0.029927,32.807,32.867,2.674e-07,-3.4638e-07,2.5908e-07,1.0046,1,6e-06,0.0015,6e-06,5e-06
6903.7,1.728e-11,0.01987,0.66898,0.00031813,0.21156,0.005856,0.041879,0.01171,1601,0.14654,0,5.1951e-13,1.7288e-13,0,6.8936,6.4426,0.08795,65.951,37.051,0.84141,5.8976,5.5118,0.075243,0,0.25114,-0.029792,32.778,32.868,2.674e-07,-3.4482e-07,2.5908e-07,1.0046,1,9e-06,0.0015,9e-06,5e-06
6903.7,1.728e-11,0.020647,0.66898,0.00031804,0.21156,0.005856,0.041879,0.01171,1601,0.14654,0,6.5568e-13,2.8334e-13,0,6.8936,6.4426,0.087949,65.951,37.051,0.84141,5.8976,5.5118,0.075243,0,0.25114,-0.029625,32.75,32.869,2.674e-07,-3.4289e-07,2.5908e-07,1.0046,1,1.2e-05,0.0015,1.2e-05,5e-06
6903.7,1.728e-11,0.021423,0.66897,0.00031795,0.21156,0.005856,0.041879,0.01171,1601,0.14654,0,7.9185e-13,3.9381e-13,0,6.8936,6.4426,0.087949,65.951,37.051,0.84141,5.8976,5.5118,0.075242,0,0.25114,-0.029458,32.722,32.87,2.674e-07,-3.4095e-07,2.5909e-07,1.0046,1,1.5e-05,0.0015,1.5e-05,5e-06
6903.7,1.728e-11,0.022093,0.66897,0.0003178,0.21156,0.005856,0.041879,0.01171,1601,0.14654,0,9.1676e-13,5.6021e-13,0,6.8935,6.4425,0.087949,65.951,37.051,0.84141,5.8976,5.5117,0.075242,0,0.25114,-0.029315,32.693,32.871,2.6739e-07,-3.3929e-07,2.5909e-07,1.0046,1,1.8e-05,0.0015,1.8e-05,5e-06
6903.7,1.728e-11,0.022762,0.66896,0.00031766,0.21156,0.0058561,0.041878,0.01171,1601,0.14655,0,1.0417e-12,7.2661e-13,0,6.8935,6.4425,0.087948,65.951,37.051,0.84141,5.8975,5.5117,0.075241,0,0.25114,-0.029171,32.664,32.872,2.6739e-07,-3.3762e-07,2.591e-07,1.0046,1,2.1e-05,0.0015,2.1e-05,5e-06
6903.8,1.728e-11,0.023479,0.66896,0.00031748,0.21156,0.0058561,0.041878,0.01171,1601,0.14655,0,1.1677e-12,9.1512e-13,0,6.8934,6.4425,0.087947,65.951,37.051,0.84142,5.8975,5.5117,0.075241,0,0.25114,-0.029017,32.635,32.873,2.6739e-07,-3.3584e-07,2.5911e-07,1.0046,1,2.4e-05,0.0015,2.4e-05,5e-06
6903.8,1.728e-11,0.024244,0.66895,0.00031728,0.21155,0.0058561,0.041878,0.01171,1601,0.14655,0,1.295e-12,1.1257e-12,0,6.8934,6.4424,0.087946,65.952,37.051,0.84142,5.8974,5.5116,0.07524,0,0.25113,-0.028853,32.606,32.874,2.6739e-07,-3.3394e-07,2.5912e-07,1.0046,1,2.7e-05,0.0015,2.7e-05,5e-06
