"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6916.6,1.728e-11,0.04051,0.6845,0.00027856,0.20829,0.0051464,0.042973,0.012143,1598.9,0.15696,0,2.8451e-13,1.5496e-14,0,7.0498,6.5886,0.089942,66.074,37.12,0.84298,5.6001,5.2338,0.071447,0,0.25133,-0.025444,33.622,33.622,2.539e-07,-2.945e-07,2.9187e-07,1.0044,1,0,0.0015,0,5e-06
6916.6,1.728e-11,0.041574,0.6845,0.00027854,0.20829,0.0051464,0.042973,0.012143,1598.9,0.15696,0,3.9225e-13,4.0731e-14,0,7.0497,6.5886,0.089942,66.074,37.12,0.84298,5.6001,5.2337,0.071447,0,0.25133,-0.025218,33.593,33.623,2.539e-07,-2.9187e-07,2.9188e-07,1.0044,1,3e-06,0.0015,3e-06,5e-06
6916.6,1.728e-11,0.042639,0.6845,0.00027851,0.20829,0.0051464,0.042973,0.012143,1598.9,0.15696,0,4.9999e-13,6.5965e-14,0,7.0497,6.5885,0.089942,66.074,37.12,0.84298,5.6001,5.2337,0.071447,0,0.25133,-0.024991,33.564,33.623,2.539e-07,-2.8925e-07,2.9188e-07,1.0044,1,6e-06,0.0015,6e-06,5e-06
6916.6,1.728e-11,0.044033,0.6845,0.00027846,0.20829,0.0051465,0.042973,0.012143,1598.9,0.15696,0,6.6083e-13,1.1137e-13,0,7.0497,6.5885,0.089941,66.074,37.12,0.84298,5.6001,5.2337,0.071447,0,0.25133,-0.024694,33.534,33.624,2.539e-07,-2.8581e-07,2.9188e-07,1.0044,1,9e-06,0.0015,9e-06,5e-06
6916.6,1.728e-11,0.045757,0.6845,0.00027838,0.20829,0.0051465,0.042973,0.012143,1598.9,0.15696,0,8.7479e-13,1.7693e-13,0,7.0497,6.5885,0.089941,66.074,37.12,0.84298,5.6001,5.2337,0.071446,0,0.25133,-0.024327,33.505,33.624,2.539e-07,-2.8156e-07,2.9188e-07,1.0044,1,1.2e-05,0.0015,1.2e-05,5e-06
6916.6,1.728e-11,0.047481,0.68449,0.00027831,0.20829,0.0051465,0.042973,0.012143,1598.9,0.15696,0,1.0887e-12,2.425e-13,0,7.0497,6.5885,0.08994,66.074,37.12,0.84298,5.6,5.2337,0.071446,0,0.25133,-0.023959,33.476,33.625,2.539e-07,-2.7731e-07,2.9189e-07,1.0044,1,1.5e-05,0.0015,1.5e-05,5e-06
6916.6,1.728e-11,0.048968,0.68449,0.00027818,0.20828,0.0051466,0.042973,0.012143,1598.9,0.15697,0,1.299e-12,3.3293e-13,0,7.0496,6.5884,0.08994,66.074,37.12,0.84298,5.6,5.2336,0.071445,0,0.25133,-0.023643,33.446,33.625,2.539e-07,-2.7364e-07,2.9189e-07,1.0044,1,1.8e-05,0.0015,1.8e-05,5e-06
6916.7,1.728e-11,0.050455,0.68448,0.00027806,0.20828,0.0051466,0.042973,0.012143,1598.9,0.15697,0,1.5092e-12,4.2335e-13,0,7.0496,6.5884,0.089939,66.074,37.121,0.84299,5.6,5.2336,0.071445,0,0.25132,-0.023327,33.417,33.625,2.539e-07,-2.6998e-07,2.919e-07,1.0044,1,2.1e-05,0.0015,2.1e-05,5e-06
6916.7,1.728e-11,0.052048,0.68447,0.00027791,0.20828,0.0051467,0.042972,0.012143,1598.9,0.15697,0,1.7156e-12,5.2094e-13,0,7.0495,6.5883,0.089938,66.075,37.121,0.84299,5.5999,5.2336,0.071444,0,0.25132,-0.022988,33.387,33.625,2.5389e-07,-2.6606e-07,2.9191e-07,1.0044,1,2.4e-05,0.0015,2.4e-05,5e-06
6916.7,1.728e-11,0.053747,0.68447,0.00027773,0.20828,0.0051468,0.042972,0.012143,1598.9,0.15698,0,1.9181e-12,6.257e-13,0,7.0494,6.5882,0.089937,66.075,37.121,0.84299,5.5999,5.2335,0.071444,0,0.25132,-0.022627,33.357,33.625,2.5389e-07,-2.6188e-07,2.9192e-07,1.0044,1,2.7e-05,0.0015,2.7e-05,5e-06
6916.7,1.728e-11,0.055446,0.68446,0.00027755,0.20828,0.0051468,0.042972,0.012143,1598.9,0.15698,0,2.1205e-12,7.3046e-13,0,7.0493,6.5882,0.089936,66.075,37.121,0.843,5.5998,5.2334,0.071443,0,0.25132,-0.022266,33.327,33.624,2.5389e-07,-2.577e-07,2.9193e-07,1.0044,1,3e-05,0.0015,3e-05,5e-06
6916.8,1.728e-11,0.057269,0.68445,0.00027733,0.20828,0.0051469,0.042972,0.012143,1598.9,0.15699,0,2.3085e-12,8.4177e-13,0,7.0493,6.5881,0.089935,66.075,37.121,0.843,5.5997,5.2334,0.071442,0,0.25131,-0.021878,33.297,33.624,2.5388e-07,-2.5322e-07,2.9194e-07,1.0044,1,3.3e-05,0.0015,3.3e-05,5e-06
6916.8,1.728e-11,0.059092,0.68444,0.0002771,0.20827,0.005147,0.042972,0.012143,1598.9,0.15699,0,2.4964e-12,9.5308e-13,0,7.0492,6.588,0.089934,66.076,37.121,0.843,5.5997,5.2333,0.071441,0,0.25131,-0.021491,33.266,33.623,2.5388e-07,-2.4874e-07,2.9195e-07,1.0044,1,3.6e-05,0.0015,3.6e-05,5e-06
6916.8,1.728e-11,0.060995,0.68443,0.00027686,0.20827,0.0051471,0.042972,0.012143,1599,0.157,0,2.6745e-12,1.0656e-12,0,7.0491,6.5879,0.089933,66.076,37.121,0.84301,5.5996,5.2332,0.07144,0,0.25131,-0.021088,33.236,33.622,2.5388e-07,-2.4407e-07,2.9196e-07,1.0044,1,3.9e-05,0.0015,3.9e-05,5e-06
6916.9,1.728e-11,0.062976,0.68441,0.00027658,0.20827,0.0051473,0.042972,0.012143,1599,0.15701,0,2.8427e-12,1.1795e-12,0,7.0489,6.5878,0.089931,66.076,37.122,0.84301,5.5995,5.2332,0.071439,0,0.2513,-0.020667,33.205,33.621,2.5387e-07,-2.3921e-07,2.9198e-07,1.0044,1,4.2e-05,0.0015,4.2e-05,5e-06
6916.9,1.728e-11,0.064957,0.6844,0.00027631,0.20827,0.0051474,0.042971,0.012142,1599,0.15701,0,3.0109e-12,1.2933e-12,0,7.0488,6.5877,0.08993,66.077,37.122,0.84302,5.5994,5.2331,0.071438,0,0.2513,-0.020247,33.174,33.62,2.5387e-07,-2.3434e-07,2.9199e-07,1.0044,1,4.5e-05,0.0015,4.5e-05,5e-06
6917,1.728e-11,0.067103,0.68439,0.00027599,0.20826,0.0051475,0.042971,0.012142,1599,0.15702,0,3.1567e-12,1.4083e-12,0,7.0487,6.5876,0.089928,66.077,37.122,0.84302,5.5993,5.233,0.071436,0,0.25129,-0.019792,33.143,33.619,2.5387e-07,-2.2908e-07,2.9201e-07,1.0044,1,4.8e-05,0.0015,4.8e-05,5e-06
6917,1.728e-11,0.069249,0.68437,0.00027567,0.20826,0.0051476,0.042971,0.012142,1599,0.15703,0,3.3025e-12,1.5234e-12,0,7.0486,6.5874,0.089926,66.078,37.122,0.84303,5.5992,5.2329,0.071435,0,0.25129,-0.019338,33.112,33.618,2.5386e-07,-2.2382e-07,2.9203e-07,1.0044,1,5.1e-05,0.0015,5.1e-05,5e-06
6917.1,1.728e-11,0.071485,0.68436,0.00027532,0.20826,0.0051478,0.042971,0.012142,1599,0.15704,0,3.4367e-12,1.6394e-12,0,7.0484,6.5873,0.089925,66.078,37.123,0.84303,5.5991,5.2328,0.071434,0,0.25128,-0.018864,33.081,33.616,2.5386e-07,-2.1834e-07,2.9204e-07,1.0044,1,5.4e-05,0.0015,5.4e-05,5e-06
6917.1,1.728e-11,0.073811,0.68434,0.00027495,0.20825,0.0051479,0.042971,0.012142,1599,0.15705,0,3.5596e-12,1.7566e-12,0,7.0483,6.5872,0.089923,66.079,37.123,0.84304,5.599,5.2327,0.071432,0,0.25128,-0.018372,33.05,33.615,2.5385e-07,-2.1264e-07,2.9206e-07,1.0044,1,5.7e-05,0.0015,5.7e-05,5e-06
6917.2,1.728e-11,0.076137,0.68433,0.00027459,0.20825,0.0051481,0.04297,0.012142,1599,0.15706,0,3.6824e-12,1.8737e-12,0,7.0481,6.587,0.089921,66.079,37.123,0.84305,5.5988,5.2326,0.071431,0,0.25127,-0.01788,33.019,33.613,2.5384e-07,-2.0695e-07,2.9208e-07,1.0044,1,6e-05,0.0015,6e-05,5e-06
6917.2,1.728e-11,0.078656,0.68431,0.00027417,0.20824,0.0051483,0.04297,0.012142,1599,0.15707,0,3.7832e-12,1.9958e-12,0,7.0479,6.5868,0.089918,66.08,37.124,0.84306,5.5987,5.2324,0.071429,0,0.25127,-0.017348,32.987,33.611,2.5384e-07,-2.0079e-07,2.921e-07,1.0044,1,6.3e-05,0.0015,6.3e-05,5e-06
6917.3,1.728e-11,0.081176,0.68429,0.00027376,0.20824,0.0051484,0.04297,0.012141,1599,0.15708,0,3.8841e-12,2.1179e-12,0,7.0478,6.5867,0.089916,66.08,37.124,0.84306,5.5986,5.2323,0.071427,0,0.25126,-0.016816,32.956,33.609,2.5383e-07,-1.9463e-07,2.9213e-07,1.0044,1,6.6e-05,0.0015,6.6e-05,5e-06
6917.3,1.728e-11,0.0838,0.68427,0.00027332,0.20824,0.0051486,0.04297,0.012141,1599,0.15709,0,3.975e-12,2.2446e-12,0,7.0476,6.5865,0.089914,66.081,37.124,0.84307,5.5984,5.2322,0.071425,0,0.25125,-0.016262,32.924,33.608,2.5383e-07,-1.8821e-07,2.9215e-07,1.0044,1,6.9e-05,0.0015,6.9e-05,5e-06
6917.4,1.728e-11,0.086529,0.68425,0.00027286,0.20823,0.0051488,0.04297,0.012141,1599,0.1571,0,4.0561e-12,2.3761e-12,0,7.0474,6.5863,0.089911,66.082,37.125,0.84308,5.5983,5.232,0.071423,0,0.25125,-0.015686,32.892,33.605,2.5382e-07,-1.8155e-07,2.9217e-07,1.0044,1,7.2e-05,0.0015,7.2e-05,5e-06
6917.5,1.728e-11,0.089258,0.68423,0.0002724,0.20823,0.005149,0.042969,0.012141,1599,0.15711,0,4.1371e-12,2.5076e-12,0,7.0472,6.5861,0.089909,66.082,37.125,0.84309,5.5981,5.2319,0.071421,0,0.25124,-0.01511,32.86,33.603,2.5381e-07,-1.7489e-07,2.922e-07,1.0044,1,7.5e-05,0.0015,7.5e-05,5e-06
6917.6,1.728e-11,0.092214,0.68421,0.0002719,0.20822,0.0051492,0.042969,0.012141,1599,0.15713,0,4.2014e-12,2.6543e-12,0,7.047,6.5859,0.089906,66.083,37.125,0.8431,5.5979,5.2317,0.071419,0,0.25123,-0.014488,32.828,33.601,2.538e-07,-1.6768e-07,2.9222e-07,1.0044,1,7.8e-05,0.0015,7.8e-05,5e-06
6917.6,1.728e-11,0.09517,0.68419,0.00027139,0.20822,0.0051494,0.042969,0.01214,1599,0.15714,0,4.2657e-12,2.801e-12,0,7.0467,6.5857,0.089903,66.084,37.126,0.8431,5.5978,5.2316,0.071417,0,0.25122,-0.013865,32.796,33.599,2.538e-07,-1.6047e-07,2.9225e-07,1.0044,1,8.1e-05,0.0015,8.1e-05,5e-06
6917.7,1.728e-11,0.098249,0.68416,0.00027087,0.20821,0.0051496,0.042968,0.01214,1599,0.15716,0,4.3233e-12,2.9587e-12,0,7.0465,6.5855,0.0899,66.084,37.126,0.84311,5.5976,5.2314,0.071415,0,0.25122,-0.013217,32.764,33.597,2.5379e-07,-1.5298e-07,2.9228e-07,1.0044,1,8.4e-05,0.0015,8.4e-05,5e-06
6917.8,1.728e-11,0.10145,0.68414,0.00027032,0.2082,0.0051498,0.042968,0.01214,1599,0.15717,0,4.3742e-12,3.1276e-12,0,7.0463,6.5853,0.089897,66.085,37.127,0.84312,5.5974,5.2312,0.071413,0,0.25121,-0.012544,32.732,33.594,2.5378e-07,-1.4518e-07,2.9231e-07,1.0044,1,8.7e-05,0.0015,8.7e-05,5e-06
6917.9,1.728e-11,0.10465,0.68412,0.00026977,0.2082,0.00515,0.042968,0.01214,1599,0.15718,0,4.4251e-12,3.2964e-12,0,7.046,6.5851,0.089894,66.086,37.127,0.84313,5.5972,5.2311,0.07141,0,0.2512,-0.011871,32.7,33.592,2.5377e-07,-1.3739e-07,2.9234e-07,1.0044,1,9e-05,0.0015,9e-05,5e-06
6917.9,1.728e-11,0.10812,0.68409,0.00026918,0.20819,0.0051502,0.042967,0.01214,1599,0.1572,0,4.4663e-12,3.4951e-12,0,7.0458,6.5848,0.089891,66.087,37.127,0.84314,5.597,5.2309,0.071408,0,0.25119,-0.011143,32.667,33.589,2.5376e-07,-1.2897e-07,2.9237e-07,1.0044,1,9.3e-05,0.0015,9.3e-05,5e-06
6918,1.728e-11,0.11159,0.68407,0.00026859,0.20819,0.0051504,0.042967,0.012139,1599,0.15722,0,4.5075e-12,3.6938e-12,0,7.0455,6.5846,0.089888,66.088,37.128,0.84315,5.5968,5.2307,0.071405,0,0.25118,-0.010415,32.635,33.586,2.5375e-07,-1.2055e-07,2.924e-07,1.0044,1,9.6e-05,0.0015,9.6e-05,5e-06
6918.1,1.728e-11,0.1152,0.68404,0.00026798,0.20818,0.0051507,0.042967,0.012139,1599,0.15723,0,4.5456e-12,3.9116e-12,0,7.0452,6.5843,0.089884,66.088,37.128,0.84316,5.5966,5.2305,0.071403,0,0.25117,-0.0096581,32.603,33.583,2.5374e-07,-1.1178e-07,2.9243e-07,1.0044,1,9.9e-05,0.0015,9.9e-05,5e-06
6918.2,1.728e-11,0.11895,0.68401,0.00026735,0.20817,0.0051509,0.042967,0.012139,1599,0.15725,0,4.5805e-12,4.1485e-12,0,7.045,6.5841,0.089881,66.089,37.129,0.84317,5.5964,5.2303,0.0714,0,0.25116,-0.0088714,32.57,33.581,2.5373e-07,-1.0268e-07,2.9247e-07,1.0045,1,0.000102,0.0015,0.000102,5e-06
6918.3,1.728e-11,0.12271,0.68399,0.00026672,0.20817,0.0051511,0.042966,0.012139,1599,0.15727,0,4.6155e-12,4.3854e-12,0,7.0447,6.5838,0.089877,66.09,37.129,0.84319,5.5962,5.2301,0.071397,0,0.25115,-0.0080847,32.537,33.578,2.5372e-07,-9.3573e-08,2.925e-07,1.0045,1,0.000105,0.0015,0.000105,5e-06
6918.4,1.728e-11,0.12678,0.68396,0.00026604,0.20816,0.0051514,0.042966,0.012138,1599,0.15729,0,4.6475e-12,4.6692e-12,0,7.0444,6.5835,0.089873,66.091,37.13,0.8432,5.596,5.2299,0.071394,0,0.25114,-0.0072344,32.505,33.575,2.5371e-07,-8.3731e-08,2.9254e-07,1.0045,1,0.000108,0.0015,0.000108,5e-06
6918.5,1.728e-11,0.13085,0.68393,0.00026537,0.20815,0.0051516,0.042966,0.012138,1599,0.15731,0,4.6795e-12,4.953e-12,0,7.0441,6.5833,0.089869,66.092,37.13,0.84321,5.5957,5.2297,0.071391,0,0.25113,-0.006384,32.472,33.572,2.537e-07,-7.3889e-08,2.9257e-07,1.0045,1,0.000111,0.0015,0.000111,5e-06
6918.6,1.728e-11,0.13509,0.6839,0.00026468,0.20814,0.0051519,0.042965,0.012138,1599,0.15733,0,4.7115e-12,5.2647e-12,0,7.0438,6.583,0.089865,66.093,37.131,0.84322,5.5955,5.2294,0.071388,0,0.25112,-0.0054993,32.439,33.568,2.5369e-07,-6.3649e-08,2.9261e-07,1.0045,1,0.000114,0.0015,0.000114,5e-06
6918.7,1.728e-11,0.13949,0.68387,0.00026397,0.20814,0.0051521,0.042965,0.012138,1599,0.15735,0,4.7436e-12,5.6042e-12,0,7.0435,6.5827,0.089861,66.094,37.131,0.84323,5.5952,5.2292,0.071385,0,0.25111,-0.0045802,32.406,33.565,2.5368e-07,-5.3012e-08,2.9265e-07,1.0045,1,0.000117,0.0015,0.000117,5e-06
