# Region      : all 
# Cells       : 160000
# Volume      : 9.000000e-11
# Time        	volAverage(E850)	volAverage(sourceXPB_alpha)
0             
0             
21600         	2.964705e-01	8.235853e-08
43200         	2.760632e-01	8.306885e-08
64800         	2.584240e-01	8.367958e-08
86400         	2.423207e-01	8.425229e-08
108000        	2.273968e-01	8.472494e-08
129600        	2.138294e-01	8.507299e-08
151200        	2.026215e-01	8.536559e-08
172800        	1.897504e-01	8.551093e-08
194400        	1.794315e-01	8.560229e-08
216000        	1.695749e-01	8.561321e-08
237600        	1.609195e-01	8.553671e-08
259200        	1.527066e-01	8.540531e-08
280800        	1.460398e-01	8.520365e-08
302400        	1.385870e-01	8.495069e-08
324000        	1.324092e-01	8.464866e-08
345600        	1.267902e-01	8.429036e-08
367200        	1.216222e-01	8.389485e-08
388800        	1.169169e-01	8.345403e-08
410400        	1.126222e-01	8.297721e-08
432000        	1.087279e-01	8.247994e-08
453600        	1.051482e-01	8.193385e-08
475200        	1.018913e-01	8.137824e-08
496800        	9.891378e-02	8.079304e-08
518400        	9.620790e-02	8.018110e-08
540000        	9.373904e-02	7.956011e-08
561600        	9.148758e-02	7.891283e-08
583200        	8.942459e-02	7.825838e-08
604800        	8.755903e-02	7.759079e-08
626400        	8.584658e-02	7.690601e-08
648000        	8.431961e-02	7.621734e-08
669600        	8.288015e-02	7.551982e-08
691200        	8.161784e-02	7.481724e-08
712800        	8.042301e-02	7.410607e-08
734400        	7.936093e-02	7.339072e-08
756000        	7.839387e-02	7.266876e-08
777600        	7.750958e-02	7.194726e-08
799200        	7.671322e-02	7.122052e-08
820800        	7.599111e-02	7.049786e-08
842400        	7.532977e-02	6.977117e-08
864000        	7.474139e-02	6.904611e-08
