"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7056.9,1.6e-10,30,0.31373,0.00087176,0.22851,0.015459,0.029759,0.0058925,1596.5,0.061022,0,-3.8307e-14,9.7736e-15,0,6.0033,5.6106,0.076591,67.414,37.873,0.86008,5.7614,5.3844,0.073504,0,0.22669,15.108,15.108,2.6121e-07,1.3371,1.5476e-05,2.929e-07,1.0102,1,0,0.0015,0,5e-06
7056.9,1.6e-10,27.875,0.31377,0.00087176,0.22851,0.015458,0.02976,0.005893,1596.5,0.061027,0,-2.3444e-14,3.2577e-14,0,6.0033,5.6106,0.076591,67.414,37.873,0.86008,5.7614,5.3844,0.073504,0,0.22669,15.079,15.108,2.6121e-07,1.3109,1.5172e-05,2.929e-07,1.0102,1,3e-06,0.0015,3e-06,5e-06
7056.9,1.6e-10,25.75,0.31381,0.00087175,0.22851,0.015458,0.029761,0.0058934,1596.5,0.061032,0,-8.5806e-15,5.5381e-14,0,6.0033,5.6106,0.076591,67.414,37.873,0.86008,5.7614,5.3844,0.073504,0,0.22669,15.049,15.109,2.6121e-07,1.2846,1.4869e-05,2.929e-07,1.0102,1,6e-06,0.0015,6e-06,5e-06
7056.9,1.6e-10,23.937,0.31388,0.00087175,0.22851,0.015456,0.029762,0.0058944,1596.5,0.061041,0,2.4201e-14,9.7802e-14,0,6.0033,5.6106,0.076591,67.414,37.873,0.86008,5.7614,5.3844,0.073504,0,0.22669,15.02,15.109,2.6121e-07,1.2599,1.4582e-05,2.9289e-07,1.0102,1,9e-06,0.0015,9e-06,5e-06
7056.9,1.6e-10,22.434,0.314,0.00087174,0.22851,0.015454,0.029765,0.0058958,1596.5,0.061056,0,7.4901e-14,1.5984e-13,0,6.0033,5.6106,0.076591,67.414,37.873,0.86007,5.7613,5.3844,0.073504,0,0.22669,14.991,15.11,2.6121e-07,1.2366,1.4313e-05,2.9289e-07,1.0102,1,1.2e-05,0.0015,1.2e-05,5e-06
7056.8,1.6e-10,20.932,0.31412,0.00087172,0.22851,0.015452,0.029767,0.0058973,1596.5,0.06107,0,1.256e-13,2.2188e-13,0,6.0033,5.6106,0.076591,67.414,37.873,0.86007,5.7613,5.3844,0.073504,0,0.22669,14.962,15.111,2.6121e-07,1.2134,1.4044e-05,2.9289e-07,1.0102,1,1.5e-05,0.0015,1.5e-05,5e-06
7056.8,1.6e-10,19.809,0.31431,0.00087171,0.22851,0.015448,0.029771,0.0058996,1596.5,0.061094,0,2.1466e-13,3.1863e-13,0,6.0033,5.6106,0.076591,67.413,37.873,0.86007,5.7613,5.3844,0.073504,0,0.22669,14.933,15.112,2.6121e-07,1.1917,1.3793e-05,2.9288e-07,1.0102,1,1.8e-05,0.0015,1.8e-05,5e-06
7056.8,1.6e-10,18.687,0.31449,0.00087169,0.22851,0.015444,0.029775,0.0059019,1596.5,0.061117,0,3.0371e-13,4.1537e-13,0,6.0033,5.6106,0.076591,67.413,37.872,0.86006,5.7613,5.3844,0.073504,0,0.22669,14.904,15.112,2.6121e-07,1.17,1.3542e-05,2.9288e-07,1.0102,1,2.1e-05,0.0015,2.1e-05,5e-06
7056.7,1.6e-10,17.675,0.31472,0.00087166,0.2285,0.01544,0.02978,0.0059047,1596.5,0.061146,0,4.0798e-13,5.2544e-13,0,6.0033,5.6105,0.076591,67.412,37.872,0.86005,5.7613,5.3844,0.073504,0,0.22669,14.875,15.113,2.6121e-07,1.1486,1.3295e-05,2.9287e-07,1.0101,1,2.4e-05,0.0015,2.4e-05,5e-06
7056.6,1.6e-10,16.775,0.31498,0.00087164,0.2285,0.015435,0.029786,0.0059079,1596.5,0.061178,0,5.2746e-13,6.4884e-13,0,6.0033,5.6105,0.076591,67.412,37.872,0.86005,5.7613,5.3844,0.073504,0,0.22668,14.846,15.113,2.6121e-07,1.1277,1.3052e-05,2.9286e-07,1.0101,1,2.7e-05,0.0015,2.7e-05,5e-06
