"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6163,1.728e-11,3,0.74708,0.0010122,0.20979,0.0026338,0.046927,0.013739,1686,0.16763,0,-1.8213e-13,-6.5307e-15,0,13.671,12.776,0.17441,58.875,33.076,0.75114,6.1588,5.7559,0.078575,0,0.4274,20.159,20.159,2.7923e-07,4.5416e-06,1.3775e-07,1.0041,1,0,0.0015,0,5e-06
6163,1.728e-11,2.8021,0.74709,0.0010122,0.20979,0.0026336,0.046927,0.013739,1686,0.16764,0,-2.4791e-13,-2.4644e-14,0,13.671,12.776,0.17441,58.875,33.076,0.75113,6.1588,5.7559,0.078575,0,0.4274,20.129,20.159,2.7923e-07,4.2885e-06,1.3775e-07,1.0041,1,3e-06,0.0015,3e-06,5e-06
6163,1.728e-11,2.6041,0.7471,0.0010122,0.20978,0.0026334,0.046927,0.013739,1686,0.16764,0,-3.1369e-13,-4.2758e-14,0,13.671,12.776,0.17441,58.875,33.076,0.75113,6.1588,5.7559,0.078574,0,0.4274,20.099,20.159,2.7923e-07,4.0354e-06,1.3775e-07,1.0041,1,6e-06,0.0015,6e-06,5e-06
6162.9,1.728e-11,2.4341,0.74712,0.0010122,0.20978,0.0026331,0.046928,0.013739,1686,0.16764,0,-4.0869e-13,-7.7738e-14,0,13.671,12.776,0.17441,58.874,33.075,0.75113,6.1588,5.7559,0.078574,0,0.4274,20.069,20.158,2.7923e-07,3.8122e-06,1.3774e-07,1.0041,1,9e-06,0.0015,9e-06,5e-06
6162.9,1.728e-11,2.2921,0.74715,0.0010123,0.20978,0.0026325,0.046928,0.01374,1686,0.16765,0,-5.329e-13,-1.2958e-13,0,13.671,12.776,0.17441,58.874,33.075,0.75112,6.1587,5.7558,0.078574,0,0.4274,20.039,20.158,2.7923e-07,3.6188e-06,1.3774e-07,1.0041,1,1.2e-05,0.0015,1.2e-05,5e-06
6162.8,1.728e-11,2.1501,0.74718,0.0010123,0.20978,0.0026319,0.046929,0.01374,1686,0.16766,0,-6.5712e-13,-1.8143e-13,0,13.671,12.776,0.17441,58.873,33.075,0.75111,6.1587,5.7558,0.078574,0,0.4274,20.008,20.157,2.7922e-07,3.4254e-06,1.3773e-07,1.0041,1,1.5e-05,0.0015,1.5e-05,5e-06
6162.7,1.728e-11,2.0428,0.74722,0.0010124,0.20978,0.002631,0.04693,0.013741,1686,0.16767,0,-7.6753e-13,-2.6311e-13,0,13.671,12.776,0.17441,58.872,33.074,0.7511,6.1587,5.7558,0.078573,0,0.4274,19.978,20.156,2.7922e-07,3.2705e-06,1.3772e-07,1.0041,1,1.8e-05,0.0015,1.8e-05,5e-06
6162.6,1.728e-11,1.9356,0.74727,0.0010125,0.20978,0.0026302,0.046931,0.013741,1686,0.16768,0,-8.7794e-13,-3.4478e-13,0,13.671,12.776,0.17441,58.871,33.074,0.75108,6.1587,5.7558,0.078573,0,0.4274,19.948,20.156,2.7922e-07,3.1155e-06,1.3771e-07,1.0041,1,2.1e-05,0.0015,2.1e-05,5e-06
6162.5,1.728e-11,1.8386,0.74733,0.0010126,0.20977,0.0026291,0.046932,0.013742,1685.9,0.16769,0,-9.8116e-13,-4.3967e-13,0,13.67,12.776,0.17441,58.87,33.073,0.75107,6.1586,5.7557,0.078573,0,0.42739,19.917,20.155,2.7922e-07,2.9724e-06,1.377e-07,1.0041,1,2.4e-05,0.0015,2.4e-05,5e-06
6162.3,1.728e-11,1.7518,0.74739,0.0010126,0.20977,0.0026279,0.046934,0.013743,1685.9,0.1677,0,-1.0772e-12,-5.4777e-13,0,13.67,12.776,0.17441,58.869,33.072,0.75105,6.1586,5.7557,0.078572,0,0.42739,19.887,20.154,2.7922e-07,2.8411e-06,1.3768e-07,1.004,1,2.7e-05,0.0015,2.7e-05,5e-06
