"ALambda_0","D_X","E850","SAC","SI","SIC","SIP","SLambda_0","SS","U:0","U:1","U:2","XI_VS","XI_alpha","XPB","XPB_VS","XS","XS_VS","alpha.water","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6282.6,1.728e-11,3,0.75055,0.204,0.0022783,0.013784,1668,0.17583,-1.631e-12,-2.1891e-14,0,13.524,0.18462,60.018,33.718,4.0817,3.8147,0,20.358,20.358,1.8486e-07,4.5998e-06,3.7075e-07,1.0024,1,0,0.0015,0,5e-06
6282.6,1.728e-11,2.8002,0.75056,0.204,0.0022781,0.013785,1668,0.17583,-2.197e-12,-5.5191e-14,0,13.524,0.18462,60.018,33.718,4.0817,3.8147,0,20.328,20.358,1.8486e-07,4.3409e-06,3.7074e-07,1.0024,1,3e-06,0.0015,3e-06,5e-06
6282.6,1.728e-11,2.6004,0.75057,0.204,0.0022779,0.013785,1668,0.17583,-2.763e-12,-8.849e-14,0,13.524,0.18462,60.017,33.718,4.0817,3.8147,0,20.298,20.357,1.8486e-07,4.0819e-06,3.7074e-07,1.0024,1,6e-06,0.0015,6e-06,5e-06
6282.6,1.728e-11,2.429,0.75059,0.204,0.0022775,0.013785,1668,0.17584,-3.5716e-12,-1.5065e-13,0,13.524,0.18462,60.017,33.717,4.0817,3.8146,0,20.268,20.357,1.8486e-07,3.8537e-06,3.7074e-07,1.0024,1,9e-06,0.0015,9e-06,5e-06
6282.5,1.728e-11,2.2859,0.75063,0.204,0.002277,0.013785,1668,0.17584,-4.6228e-12,-2.4167e-13,0,13.524,0.18461,60.016,33.717,4.0816,3.8146,0,20.237,20.356,1.8486e-07,3.6561e-06,3.7073e-07,1.0024,1,1.2e-05,0.0015,1.2e-05,5e-06
6282.4,1.728e-11,2.1428,0.75066,0.204,0.0022764,0.013786,1668,0.17585,-5.674e-12,-3.3269e-13,0,13.524,0.18461,60.016,33.717,4.0816,3.8146,0,20.207,20.356,1.8486e-07,3.4585e-06,3.7073e-07,1.0024,1,1.5e-05,0.0015,1.5e-05,5e-06
6282.3,1.728e-11,2.0349,0.7507,0.204,0.0022755,0.013786,1667.9,0.17586,-6.5806e-12,-4.6761e-13,0,13.524,0.18461,60.015,33.716,4.0816,3.8146,0,20.177,20.356,1.8486e-07,3.3003e-06,3.7072e-07,1.0024,1,1.8e-05,0.0015,1.8e-05,5e-06
6282.2,1.728e-11,1.927,0.75075,0.204,0.0022746,0.013787,1667.9,0.17587,-7.4872e-12,-6.0253e-13,0,13.523,0.18461,60.014,33.716,4.0816,3.8146,0,20.148,20.356,1.8486e-07,3.1422e-06,3.7071e-07,1.0023,1,2.1e-05,0.0015,2.1e-05,5e-06
6282.1,1.728e-11,1.8295,0.75081,0.20399,0.0022736,0.013788,1667.9,0.17589,-8.3401e-12,-7.5431e-13,0,13.523,0.18461,60.012,33.715,4.0815,3.8145,0,20.118,20.356,1.8486e-07,2.9961e-06,3.707e-07,1.0023,1,2.4e-05,0.0015,2.4e-05,5e-06
6282,1.728e-11,1.7422,0.75087,0.20399,0.0022724,0.013789,1667.9,0.1759,-9.1394e-12,-9.2294e-13,0,13.523,0.18461,60.011,33.714,4.0815,3.8145,0,20.089,20.357,1.8486e-07,2.8622e-06,3.7068e-07,1.0023,1,2.7e-05,0.0015,2.7e-05,5e-06
6281.8,1.728e-11,1.655,0.75094,0.20399,0.0022712,0.013789,1667.8,0.17592,-9.9387e-12,-1.0916e-12,0,13.523,0.18461,60.01,33.713,4.0815,3.8145,0,20.06,20.358,1.8486e-07,2.7282e-06,3.7067e-07,1.0023,1,3e-05,0.0015,3e-05,5e-06
6281.6,1.728e-11,1.5816,0.75101,0.20399,0.0022697,0.01379,1667.8,0.17594,-1.0669e-11,-1.2831e-12,0,13.523,0.1846,60.008,33.713,4.0814,3.8144,0,20.032,20.359,1.8485e-07,2.611e-06,3.7066e-07,1.0023,1,3.3e-05,0.0015,3.3e-05,5e-06
6281.5,1.728e-11,1.5083,0.75109,0.20398,0.0022682,0.013791,1667.8,0.17596,-1.14e-11,-1.4746e-12,0,13.523,0.1846,60.007,33.712,4.0814,3.8144,0,20.004,20.361,1.8485e-07,2.4939e-06,3.7064e-07,1.0022,1,3.6e-05,0.0015,3.6e-05,5e-06
6281.3,1.728e-11,1.4401,0.75118,0.20398,0.0022666,0.013793,1667.7,0.17598,-1.2112e-11,-1.6721e-12,0,13.523,0.1846,60.005,33.711,4.0813,3.8143,0,19.976,20.363,1.8485e-07,2.3834e-06,3.7063e-07,1.0022,1,3.9e-05,0.0015,3.9e-05,5e-06
6281.1,1.728e-11,1.3772,0.75127,0.20398,0.0022649,0.013794,1667.7,0.176,-1.2805e-11,-1.8755e-12,0,13.522,0.1846,60.003,33.71,4.0813,3.8143,0,19.949,20.365,1.8485e-07,2.2794e-06,3.7061e-07,1.0022,1,4.2e-05,0.0015,4.2e-05,5e-06
6280.9,1.728e-11,1.3143,0.75136,0.20397,0.0022632,0.013795,1667.6,0.17603,-1.3498e-11,-2.0789e-12,0,13.522,0.18459,60.001,33.708,4.0812,3.8142,0,19.922,20.368,1.8485e-07,2.1755e-06,3.7059e-07,1.0022,1,4.5e-05,0.0015,4.5e-05,5e-06
6280.7,1.728e-11,1.2597,0.75146,0.20397,0.0022613,0.013796,1667.6,0.17605,-1.4176e-11,-2.2807e-12,0,13.522,0.18459,59.999,33.707,4.0811,3.8141,0,19.895,20.371,1.8485e-07,2.0827e-06,3.7058e-07,1.0021,1,4.8e-05,0.0015,4.8e-05,5e-06
