"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6141.3,1.728e-11,3,0.74673,0.0011056,0.21056,0.0026734,0.046927,0.013738,1690.2,0.16623,0,3.018e-13,-3.6635e-15,0,13.842,12.936,0.1766,58.667,32.959,0.74849,6.2472,5.8385,0.079703,0,0.43289,20.259,20.259,2.8323e-07,4.5294e-06,1.2571e-07,1.0048,1,0,0.0015,0,5e-06
6141.3,1.728e-11,2.8024,0.74674,0.0011057,0.21056,0.0026732,0.046927,0.013738,1690.1,0.16623,0,4.015e-13,-1.445e-14,0,13.842,12.936,0.17659,58.667,32.959,0.74848,6.2472,5.8385,0.079703,0,0.43289,20.229,20.259,2.8323e-07,4.2774e-06,1.2571e-07,1.0048,1,3e-06,0.0015,3e-06,5e-06
6141.2,1.728e-11,2.6048,0.74675,0.0011057,0.21056,0.002673,0.046928,0.013738,1690.1,0.16623,0,5.012e-13,-2.5236e-14,0,13.842,12.936,0.17659,58.667,32.959,0.74848,6.2472,5.8385,0.079703,0,0.43289,20.199,20.259,2.8323e-07,4.0255e-06,1.2571e-07,1.0048,1,6e-06,0.0015,6e-06,5e-06
6141.2,1.728e-11,2.4351,0.74677,0.0011057,0.21056,0.0026726,0.046928,0.013738,1690.1,0.16623,0,6.4418e-13,-4.6761e-14,0,13.842,12.936,0.17659,58.667,32.959,0.74848,6.2472,5.8385,0.079703,0,0.43289,20.169,20.258,2.8323e-07,3.8033e-06,1.257e-07,1.0048,1,9e-06,0.0015,9e-06,5e-06
6141.1,1.728e-11,2.2932,0.7468,0.0011058,0.21056,0.0026721,0.046929,0.013739,1690.1,0.16624,0,8.3044e-13,-7.9025e-14,0,13.842,12.936,0.17659,58.666,32.958,0.74847,6.2472,5.8385,0.079702,0,0.43289,20.139,20.258,2.8323e-07,3.6107e-06,1.257e-07,1.0048,1,1.2e-05,0.0015,1.2e-05,5e-06
6141.1,1.728e-11,2.1514,0.74683,0.0011058,0.21056,0.0026715,0.04693,0.013739,1690.1,0.16625,0,1.0167e-12,-1.1129e-13,0,13.842,12.936,0.17659,58.665,32.958,0.74846,6.2472,5.8385,0.079702,0,0.43289,20.109,20.257,2.8323e-07,3.4182e-06,1.2569e-07,1.0048,1,1.5e-05,0.0015,1.5e-05,5e-06
6141,1.728e-11,2.0443,0.74688,0.0011059,0.21056,0.0026706,0.046931,0.01374,1690.1,0.16626,0,1.1806e-12,-1.645e-13,0,13.842,12.936,0.17659,58.664,32.958,0.74845,6.2471,5.8385,0.079702,0,0.43289,20.079,20.257,2.8323e-07,3.2639e-06,1.2568e-07,1.0047,1,1.8e-05,0.0015,1.8e-05,5e-06
6140.9,1.728e-11,1.9371,0.74692,0.001106,0.21055,0.0026697,0.046932,0.01374,1690.1,0.16627,0,1.3445e-12,-2.1771e-13,0,13.842,12.936,0.17659,58.664,32.957,0.74844,6.2471,5.8384,0.079702,0,0.43289,20.048,20.256,2.8323e-07,3.1096e-06,1.2567e-07,1.0047,1,2.1e-05,0.0015,2.1e-05,5e-06
6140.8,1.728e-11,1.8402,0.74698,0.001106,0.21055,0.0026687,0.046933,0.013741,1690,0.16628,0,1.5008e-12,-2.8066e-13,0,13.842,12.936,0.17659,58.662,32.956,0.74842,6.2471,5.8384,0.079701,0,0.43288,20.018,20.256,2.8323e-07,2.9671e-06,1.2566e-07,1.0047,1,2.4e-05,0.0015,2.4e-05,5e-06
6140.6,1.728e-11,1.7535,0.74704,0.0011061,0.21055,0.0026675,0.046934,0.013742,1690,0.1663,0,1.6493e-12,-3.5334e-13,0,13.841,12.936,0.17659,58.661,32.956,0.74841,6.2471,5.8384,0.079701,0,0.43288,19.988,20.256,2.8323e-07,2.8363e-06,1.2564e-07,1.0047,1,2.7e-05,0.0015,2.7e-05,5e-06
6140.5,1.728e-11,1.6668,0.7471,0.0011062,0.21054,0.0026664,0.046936,0.013743,1690,0.16631,0,1.7979e-12,-4.2602e-13,0,13.841,12.936,0.17659,58.66,32.955,0.74839,6.247,5.8383,0.0797,0,0.43288,19.958,20.255,2.8323e-07,2.7055e-06,1.2563e-07,1.0047,1,3e-05,0.0015,3e-05,5e-06
6140.4,1.728e-11,1.5937,0.74718,0.0011063,0.21054,0.0026649,0.046937,0.013744,1690,0.16633,0,1.9342e-12,-5.1631e-13,0,13.841,12.936,0.17659,58.658,32.954,0.74837,6.247,5.8383,0.0797,0,0.43288,19.928,20.255,2.8322e-07,2.591e-06,1.2562e-07,1.0047,1,3.3e-05,0.0015,3.3e-05,5e-06
6140.2,1.728e-11,1.5207,0.74726,0.0011063,0.21053,0.0026635,0.046939,0.013745,1689.9,0.16635,0,2.0705e-12,-6.066e-13,0,13.841,12.936,0.17659,58.657,32.953,0.74835,6.2469,5.8383,0.079699,0,0.43287,19.898,20.254,2.8322e-07,2.4764e-06,1.256e-07,1.0046,1,3.6e-05,0.0015,3.6e-05,5e-06
6140,1.728e-11,1.4528,0.74734,0.0011064,0.21053,0.0026619,0.046941,0.013746,1689.9,0.16637,0,2.2023e-12,-7.0491e-13,0,13.841,12.936,0.17659,58.655,32.952,0.74833,6.2469,5.8382,0.079699,0,0.43287,19.867,20.254,2.8322e-07,2.3683e-06,1.2558e-07,1.0046,1,3.9e-05,0.0015,3.9e-05,5e-06
6139.8,1.728e-11,1.3901,0.74743,0.0011064,0.21052,0.0026602,0.046943,0.013747,1689.9,0.16639,0,2.3295e-12,-8.1126e-13,0,13.841,12.935,0.17659,58.654,32.951,0.74831,6.2469,5.8382,0.079698,0,0.43287,19.837,20.253,2.8322e-07,2.2666e-06,1.2557e-07,1.0046,1,4.2e-05,0.0015,4.2e-05,5e-06
