"D_X","E850","SH2","SI","SIC","SIN","SIP","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","p_rgh","sourceXI_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,3,0.0012892,0.21208,0.0027445,0.046939,0.01374,1697.3,0,8.2331e-14,1.5764e-15,0,14.287,13.353,0.18228,58.139,0.74174,6.355,5.9393,0.081078,0,0.44564,20.227,2.8814e-07,1.0739e-07,1.0051,1,0,0.0015,0,5e-06
1.728e-11,2.8033,0.0012893,0.21208,0.0027443,0.046939,0.01374,1697.3,0,1.2723e-13,5.8495e-15,0,14.287,13.353,0.18228,58.139,0.74174,6.355,5.9393,0.081078,0,0.44564,20.227,2.8814e-07,1.0739e-07,1.0051,1,3e-06,0.0015,3e-06,5e-06
1.728e-11,2.6065,0.0012893,0.21207,0.0027441,0.04694,0.01374,1697.3,0,1.7213e-13,1.0123e-14,0,14.287,13.353,0.18228,58.138,0.74174,6.355,5.9393,0.081078,0,0.44564,20.227,2.8814e-07,1.0739e-07,1.0051,1,6e-06,0.0015,6e-06,5e-06
1.728e-11,2.4375,0.0012893,0.21207,0.0027437,0.04694,0.01374,1697.3,0,2.4613e-13,1.8192e-14,0,14.287,13.353,0.18228,58.138,0.74173,6.355,5.9393,0.081078,0,0.44564,20.227,2.8814e-07,1.0738e-07,1.0051,1,9e-06,0.0015,9e-06,5e-06
1.728e-11,2.2962,0.0012894,0.21207,0.0027432,0.046941,0.013741,1697.3,0,3.4923e-13,3.0058e-14,0,14.287,13.353,0.18228,58.137,0.74172,6.355,5.9392,0.081078,0,0.44564,20.227,2.8814e-07,1.0738e-07,1.0051,1,1.2e-05,0.0015,1.2e-05,5e-06
1.728e-11,2.1549,0.0012894,0.21207,0.0027426,0.046942,0.013741,1697.3,0,4.5233e-13,4.1923e-14,0,14.287,13.353,0.18228,58.137,0.74172,6.355,5.9392,0.081078,0,0.44563,20.228,2.8813e-07,1.0737e-07,1.0051,1,1.5e-05,0.0015,1.5e-05,5e-06
1.728e-11,2.048,0.0012895,0.21207,0.0027417,0.046943,0.013742,1697.3,0,5.7812e-13,6.0003e-14,0,14.287,13.352,0.18228,58.136,0.7417,6.355,5.9392,0.081077,0,0.44563,20.228,2.8813e-07,1.0736e-07,1.0051,1,1.8e-05,0.0015,1.8e-05,5e-06
1.728e-11,1.9412,0.0012896,0.21207,0.0027408,0.046944,0.013742,1697.3,0,7.0392e-13,7.8082e-14,0,14.287,13.352,0.18228,58.135,0.74169,6.3549,5.9392,0.081077,0,0.44563,20.228,2.8813e-07,1.0735e-07,1.005,1,2.1e-05,0.0015,2.1e-05,5e-06
1.728e-11,1.8445,0.0012897,0.21206,0.0027398,0.046945,0.013743,1697.2,0,8.3567e-13,9.8684e-14,0,14.287,13.352,0.18228,58.133,0.74168,6.3549,5.9392,0.081077,0,0.44563,20.228,2.8813e-07,1.0734e-07,1.005,1,2.4e-05,0.0015,2.4e-05,5e-06
1.728e-11,1.758,0.0012897,0.21206,0.0027386,0.046946,0.013744,1697.2,0,9.7339e-13,1.2181e-13,0,14.287,13.352,0.18227,58.132,0.74166,6.3549,5.9391,0.081076,0,0.44563,20.228,2.8813e-07,1.0732e-07,1.005,1,2.7e-05,0.0015,2.7e-05,5e-06
