"ALambda_0","D_X","E850","SAC","SH2","SI","SIC","SIN","SIP","SLambda_0","SS","Su","U:0","U:1","U:2","XI","XI_VS","XI_alpha","XPB","XPB_VS","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","alphas","appXPB","p","p_rgh","sourceXI_alpha","sourceXPB_alpha","sourceXS_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6732.2,1.728e-11,0.30379,0.72555,0,0.20233,0.0031892,0.04573,0.013247,1619.3,0.1783,0,-1.9116e-13,1.9529e-14,0,10.589,9.8965,0.1351,64.312,36.13,0.8205,3.7852,3.5375,0.048291,0,0.31849,0.027441,39.681,39.681,1.7154e-07,3.176e-07,4.5863e-07,1.0039,1,0,0.0015,0,5e-06
6732.2,1.728e-11,0.31165,0.72555,0,0.20233,0.0031892,0.04573,0.013247,1619.3,0.1783,0,-2.553e-13,4.4794e-14,0,10.589,9.8965,0.1351,64.312,36.13,0.8205,3.7851,3.5375,0.048291,0,0.31849,0.02895,39.652,39.682,1.7154e-07,3.3507e-07,4.5863e-07,1.0039,1,3e-06,0.0015,3e-06,5e-06
6732.2,1.728e-11,0.31951,0.72555,0,0.20233,0.0031892,0.04573,0.013247,1619.3,0.1783,0,-3.1943e-13,7.006e-14,0,10.589,9.8965,0.1351,64.312,36.13,0.8205,3.7851,3.5375,0.048291,0,0.31849,0.03046,39.622,39.682,1.7154e-07,3.5254e-07,4.5864e-07,1.0039,1,6e-06,0.0015,6e-06,5e-06
6732.2,1.728e-11,0.3298,0.72555,0,0.20232,0.0031892,0.04573,0.013247,1619.3,0.1783,0,-4.0612e-13,1.1112e-13,0,10.589,9.8964,0.1351,64.312,36.131,0.82051,3.7851,3.5375,0.048291,0,0.31849,0.032433,39.593,39.682,1.7154e-07,3.7538e-07,4.5864e-07,1.0039,1,9e-06,0.0015,9e-06,5e-06
6732.2,1.728e-11,0.34253,0.72554,0,0.20232,0.0031892,0.04573,0.013247,1619.3,0.17831,0,-5.1536e-13,1.6797e-13,0,10.589,9.8963,0.1351,64.312,36.131,0.82051,3.7851,3.5375,0.048291,0,0.31848,0.034871,39.563,39.682,1.7153e-07,4.036e-07,4.5864e-07,1.0039,1,1.2e-05,0.0015,1.2e-05,5e-06
6732.2,1.728e-11,0.35526,0.72554,0,0.20232,0.0031892,0.04573,0.013247,1619.3,0.17831,0,-6.2461e-13,2.2482e-13,0,10.589,9.8963,0.1351,64.313,36.131,0.82051,3.7851,3.5375,0.04829,0,0.31848,0.037309,39.533,39.682,1.7153e-07,4.3182e-07,4.5864e-07,1.0039,1,1.5e-05,0.0015,1.5e-05,5e-06
6732.2,1.728e-11,0.36622,0.72554,0,0.20232,0.0031893,0.045729,0.013247,1619.3,0.17831,0,-7.0031e-13,2.8742e-13,0,10.589,9.8962,0.1351,64.313,36.131,0.82051,3.785,3.5374,0.04829,0,0.31848,0.039393,39.503,39.682,1.7153e-07,4.5594e-07,4.5865e-07,1.0039,1,1.8e-05,0.0015,1.8e-05,5e-06
6732.3,1.728e-11,0.37719,0.72553,0,0.20232,0.0031893,0.045729,0.013247,1619.3,0.17831,0,-7.7602e-13,3.5002e-13,0,10.589,9.8961,0.13509,64.313,36.131,0.82051,3.785,3.5374,0.04829,0,0.31848,0.041477,39.473,39.681,1.7153e-07,4.8006e-07,4.5866e-07,1.0039,1,2.1e-05,0.0015,2.1e-05,5e-06
6732.3,1.728e-11,0.38893,0.72552,0,0.20232,0.0031893,0.045729,0.013247,1619.3,0.17832,0,-8.4201e-13,4.1032e-13,0,10.589,9.896,0.13509,64.313,36.131,0.82051,3.785,3.5373,0.048289,0,0.31847,0.043702,39.443,39.68,1.7153e-07,5.0581e-07,4.5866e-07,1.0039,1,2.4e-05,0.0015,2.4e-05,5e-06
6732.3,1.728e-11,0.40145,0.72552,0,0.20232,0.0031894,0.045729,0.013247,1619.3,0.17832,0,-8.9827e-13,4.6833e-13,0,10.589,9.8958,0.13509,64.313,36.131,0.82052,3.7849,3.5373,0.048288,0,0.31847,0.046068,39.412,39.679,1.7153e-07,5.332e-07,4.5867e-07,1.0039,1,2.7e-05,0.0015,2.7e-05,5e-06
6732.3,1.728e-11,0.41398,0.72551,0,0.20232,0.0031894,0.045729,0.013247,1619.3,0.17832,0,-9.5453e-13,5.2634e-13,0,10.588,9.8957,0.13509,64.313,36.131,0.82052,3.7848,3.5372,0.048288,0,0.31846,0.048434,39.381,39.678,1.7152e-07,5.6058e-07,4.5868e-07,1.0039,1,3e-05,0.0015,3e-05,5e-06
6732.3,1.728e-11,0.42741,0.7255,0,0.20232,0.0031894,0.045729,0.013247,1619.3,0.17833,0,-1.006e-12,5.7718e-13,0,10.588,9.8955,0.13509,64.314,36.131,0.82052,3.7848,3.5372,0.048287,0,0.31846,0.050954,39.35,39.677,1.7152e-07,5.8975e-07,4.5869e-07,1.0039,1,3.3e-05,0.0015,3.3e-05,5e-06
6732.4,1.728e-11,0.44085,0.72549,0,0.20232,0.0031895,0.045729,0.013246,1619.3,0.17834,0,-1.0575e-12,6.2803e-13,0,10.588,9.8953,0.13508,64.314,36.131,0.82053,3.7847,3.5371,0.048286,0,0.31845,0.053474,39.318,39.675,1.7152e-07,6.1892e-07,4.587e-07,1.0039,1,3.6e-05,0.0015,3.6e-05,5e-06
6732.4,1.728e-11,0.45486,0.72548,0,0.20232,0.0031895,0.045728,0.013246,1619.3,0.17834,0,-1.1105e-12,6.7814e-13,0,10.588,9.8951,0.13508,64.314,36.132,0.82053,3.7846,3.537,0.048285,0,0.31845,0.056093,39.287,39.673,1.7151e-07,6.4922e-07,4.5871e-07,1.0039,1,3.9e-05,0.0015,3.9e-05,5e-06
6732.4,1.728e-11,0.46946,0.72548,0,0.20231,0.0031895,0.045728,0.013246,1619.2,0.17835,0,-1.165e-12,7.2752e-13,0,10.588,9.8949,0.13508,64.315,36.132,0.82053,3.7846,3.537,0.048284,0,0.31844,0.058809,39.255,39.672,1.7151e-07,6.8066e-07,4.5873e-07,1.0039,1,4.2e-05,0.0015,4.2e-05,5e-06
6732.5,1.728e-11,0.48405,0.72547,0,0.20231,0.0031896,0.045728,0.013246,1619.2,0.17836,0,-1.2196e-12,7.769e-13,0,10.587,9.8947,0.13507,64.315,36.132,0.82054,3.7845,3.5369,0.048283,0,0.31843,0.061525,39.224,39.67,1.7151e-07,7.121e-07,4.5874e-07,1.0039,1,4.5e-05,0.0015,4.5e-05,5e-06
6732.5,1.728e-11,0.49985,0.72546,0,0.20231,0.0031896,0.045728,0.013246,1619.2,0.17836,0,-1.2774e-12,8.3582e-13,0,10.587,9.8944,0.13507,64.315,36.132,0.82054,3.7844,3.5368,0.048282,0,0.31842,0.064443,39.192,39.667,1.715e-07,7.4587e-07,4.5875e-07,1.0039,1,4.8e-05,0.0015,4.8e-05,5e-06
6732.5,1.728e-11,0.51566,0.72545,0,0.20231,0.0031896,0.045728,0.013246,1619.2,0.17837,0,-1.3352e-12,8.9475e-13,0,10.587,9.8942,0.13507,64.316,36.132,0.82055,3.7843,3.5367,0.04828,0,0.31841,0.067361,39.16,39.665,1.715e-07,7.7964e-07,4.5877e-07,1.0039,1,5.1e-05,0.0015,5.1e-05,5e-06
6732.6,1.728e-11,0.53212,0.72544,0,0.2023,0.0031896,0.045728,0.013246,1619.2,0.17838,0,-1.3929e-12,9.6596e-13,0,10.586,9.8939,0.13506,64.316,36.133,0.82055,3.7842,3.5366,0.048279,0,0.31841,0.070386,39.128,39.663,1.7149e-07,8.1466e-07,4.5878e-07,1.0039,1,5.4e-05,0.0015,5.4e-05,5e-06
6732.6,1.728e-11,0.54924,0.72543,0,0.2023,0.0031896,0.045727,0.013246,1619.2,0.17839,0,-1.4505e-12,1.0494e-12,0,10.586,9.8936,0.13506,64.316,36.133,0.82055,3.7841,3.5365,0.048278,0,0.3184,0.073519,39.096,39.66,1.7149e-07,8.5092e-07,4.588e-07,1.0039,1,5.7e-05,0.0015,5.7e-05,5e-06
6732.6,1.728e-11,0.56636,0.72542,0,0.2023,0.0031896,0.045727,0.013246,1619.2,0.1784,0,-1.5081e-12,1.1329e-12,0,10.586,9.8933,0.13506,64.317,36.133,0.82056,3.7839,3.5364,0.048276,0,0.31839,0.076652,39.063,39.658,1.7148e-07,8.8718e-07,4.5882e-07,1.0039,1,6e-05,0.0015,6e-05,5e-06
6732.7,1.728e-11,0.58491,0.72541,0,0.2023,0.0031895,0.045727,0.013246,1619.2,0.17841,0,-1.5599e-12,1.2586e-12,0,10.585,9.8929,0.13505,64.317,36.133,0.82056,3.7838,3.5363,0.048274,0,0.31838,0.080013,39.031,39.655,1.7148e-07,9.2608e-07,4.5883e-07,1.0039,1,6.3e-05,0.0015,6.3e-05,5e-06
6732.7,1.728e-11,0.60345,0.7254,0,0.20229,0.0031895,0.045727,0.013245,1619.2,0.17842,0,-1.6117e-12,1.3842e-12,0,10.585,9.8926,0.13505,64.317,36.133,0.82057,3.7837,3.5362,0.048273,0,0.31836,0.083374,38.998,39.652,1.7147e-07,9.6498e-07,4.5885e-07,1.0039,1,6.6e-05,0.0015,6.6e-05,5e-06
6732.8,1.728e-11,0.62276,0.72539,0,0.20229,0.0031894,0.045727,0.013245,1619.2,0.17843,0,-1.6577e-12,1.5405e-12,0,10.585,9.8922,0.13504,64.318,36.133,0.82057,3.7836,3.536,0.048271,0,0.31835,0.086856,38.966,39.649,1.7146e-07,1.0053e-06,4.5887e-07,1.0039,1,6.9e-05,0.0015,6.9e-05,5e-06
6732.8,1.728e-11,0.64285,0.72538,0,0.20229,0.0031894,0.045727,0.013245,1619.2,0.17845,0,-1.698e-12,1.7276e-12,0,10.584,9.8919,0.13504,64.318,36.134,0.82058,3.7834,3.5359,0.048269,0,0.31834,0.090459,38.933,39.646,1.7146e-07,1.047e-06,4.5889e-07,1.0039,1,7.2e-05,0.0015,7.2e-05,5e-06
6732.8,1.728e-11,0.66293,0.72537,0,0.20229,0.0031893,0.045726,0.013245,1619.2,0.17846,0,-1.7382e-12,1.9147e-12,0,10.584,9.8915,0.13503,64.318,36.134,0.82058,3.7833,3.5358,0.048267,0,0.31833,0.094062,38.9,39.643,1.7145e-07,1.0887e-06,4.5891e-07,1.0039,1,7.5e-05,0.0015,7.5e-05,5e-06
6732.9,1.728e-11,0.68468,0.72536,0,0.20228,0.0031892,0.045726,0.013245,1619.2,0.17847,0,-1.7611e-12,2.183e-12,0,10.583,9.8911,0.13502,64.319,36.134,0.82059,3.7831,3.5356,0.048265,0,0.31831,0.09792,38.867,39.64,1.7144e-07,1.1333e-06,4.5893e-07,1.0039,1,7.8e-05,0.0015,7.8e-05,5e-06
6732.9,1.728e-11,0.70643,0.72536,0,0.20228,0.0031891,0.045726,0.013245,1619.1,0.17849,0,-1.7839e-12,2.4514e-12,0,10.583,9.8906,0.13502,64.319,36.134,0.82059,3.7829,3.5355,0.048263,0,0.3183,0.10178,38.834,39.637,1.7144e-07,1.178e-06,4.5895e-07,1.0039,1,8.1e-05,0.0015,8.1e-05,5e-06
6732.9,1.728e-11,0.72908,0.72535,0,0.20228,0.0031889,0.045726,0.013245,1619.1,0.1785,0,-1.7956e-12,2.7702e-12,0,10.583,9.8902,0.13501,64.319,36.134,0.82059,3.7828,3.5353,0.048261,0,0.31829,0.10577,38.801,39.634,1.7143e-07,1.2242e-06,4.5898e-07,1.0039,1,8.4e-05,0.0015,8.4e-05,5e-06
6733,1.728e-11,0.75264,0.72534,0,0.20227,0.0031887,0.045726,0.013245,1619.1,0.17852,0,-1.7961e-12,3.1395e-12,0,10.582,9.8897,0.13501,64.32,36.135,0.8206,3.7826,3.5352,0.048259,0,0.31827,0.1099,38.768,39.63,1.7142e-07,1.272e-06,4.59e-07,1.0039,1,8.7e-05,0.0015,8.7e-05,5e-06
