"vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0.0015,0,5e-06
1,3e-06,0.0015,3e-06,5e-06
1,6e-06,0.0015,6e-06,5e-06
1,9e-06,0.0015,9e-06,5e-06
1,1.2e-05,0.0015,1.2e-05,5e-06
1,1.5e-05,0.0015,1.5e-05,5e-06
1,1.8e-05,0.0015,1.8e-05,5e-06
1,2.1e-05,0.0015,2.1e-05,5e-06
1,2.4e-05,0.0015,2.4e-05,5e-06
1,2.7e-05,0.0015,2.7e-05,5e-06
1,3e-05,0.0015,3e-05,5e-06
1,3.3e-05,0.0015,3.3e-05,5e-06
1,3.6e-05,0.0015,3.6e-05,5e-06
1,3.9e-05,0.0015,3.9e-05,5e-06
1,4.2e-05,0.0015,4.2e-05,5e-06
1,4.5e-05,0.0015,4.5e-05,5e-06
1,4.8e-05,0.0015,4.8e-05,5e-06
1,5.1e-05,0.0015,5.1e-05,5e-06
1,5.4e-05,0.0015,5.4e-05,5e-06
1,5.7e-05,0.0015,5.7e-05,5e-06
1,6e-05,0.0015,6e-05,5e-06
1,6.3e-05,0.0015,6.3e-05,5e-06
1,6.6e-05,0.0015,6.6e-05,5e-06
1,6.9e-05,0.0015,6.9e-05,5e-06
1,7.2e-05,0.0015,7.2e-05,5e-06
1,7.5e-05,0.0015,7.5e-05,5e-06
1,7.8e-05,0.0015,7.8e-05,5e-06
1,8.1e-05,0.0015,8.1e-05,5e-06
1,8.4e-05,0.0015,8.4e-05,5e-06
1,8.7e-05,0.0015,8.7e-05,5e-06
1,9e-05,0.0015,9e-05,5e-06
1,9.3e-05,0.0015,9.3e-05,5e-06
1,9.6e-05,0.0015,9.6e-05,5e-06
1,9.9e-05,0.0015,9.9e-05,5e-06
1,0.000102,0.0015,0.000102,5e-06
1,0.000105,0.0015,0.000105,5e-06
1,0.000108,0.0015,0.000108,5e-06
1,0.000111,0.0015,0.000111,5e-06
1,0.000114,0.0015,0.000114,5e-06
1,0.000117,0.0015,0.000117,5e-06
1,0.00012,0.0015,0.00012,5e-06
1,0.000123,0.0015,0.000123,5e-06
1,0.000126,0.0015,0.000126,5e-06
1,0.000129,0.0015,0.000129,5e-06
1,0.000132,0.0015,0.000132,5e-06
1,0.000135,0.0015,0.000135,5e-06
1,0.000138,0.0015,0.000138,5e-06
1,0.000141,0.0015,0.000141,5e-06
1,0.000144,0.0015,0.000144,5e-06
1,0.000147,0.0015,0.000147,5e-06
1,0.00015,0.0015,0.00015,5e-06
1,0.000153,0.0015,0.000153,5e-06
1,0.000156,0.0015,0.000156,5e-06
1,0.000159,0.0015,0.000159,5e-06
1,0.000162,0.0015,0.000162,5e-06
1,0.000165,0.0015,0.000165,5e-06
1,0.000168,0.0015,0.000168,5e-06
1,0.000171,0.0015,0.000171,5e-06
1,0.000174,0.0015,0.000174,5e-06
1,0.000177,0.0015,0.000177,5e-06
1,0.00018,0.0015,0.00018,5e-06
1,0.000183,0.0015,0.000183,5e-06
1,0.000186,0.0015,0.000186,5e-06
1,0.000189,0.0015,0.000189,5e-06
1,0.000192,0.0015,0.000192,5e-06
1,0.000195,0.0015,0.000195,5e-06
1,0.000198,0.0015,0.000198,5e-06
1,0.000201,0.0015,0.000201,5e-06
1,0.000204,0.0015,0.000204,5e-06
1,0.000207,0.0015,0.000207,5e-06
1,0.00021,0.0015,0.00021,5e-06
1,0.000213,0.0015,0.000213,5e-06
1,0.000216,0.0015,0.000216,5e-06
1,0.000219,0.0015,0.000219,5e-06
1,0.000222,0.0015,0.000222,5e-06
1,0.000225,0.0015,0.000225,5e-06
1,0.000228,0.0015,0.000228,5e-06
1,0.000231,0.0015,0.000231,5e-06
1,0.000234,0.0015,0.000234,5e-06
1,0.000237,0.0015,0.000237,5e-06
1,0.00024,0.0015,0.00024,5e-06
1,0.000243,0.0015,0.000243,5e-06
1,0.000246,0.0015,0.000246,5e-06
1,0.000249,0.0015,0.000249,5e-06
1,0.000252,0.0015,0.000252,5e-06
1,0.000255,0.0015,0.000255,5e-06
1,0.000258,0.0015,0.000258,5e-06
1,0.000261,0.0015,0.000261,5e-06
1,0.000264,0.0015,0.000264,5e-06
1,0.000267,0.0015,0.000267,5e-06
1,0.00027,0.0015,0.00027,5e-06
1,0.000273,0.0015,0.000273,5e-06
1,0.000276,0.0015,0.000276,5e-06
1,0.000279,0.0015,0.000279,5e-06
1,0.000282,0.0015,0.000282,5e-06
1,0.000285,0.0015,0.000285,5e-06
1,0.000288,0.0015,0.000288,5e-06
1,0.000291,0.0015,0.000291,5e-06
1,0.000294,0.0015,0.000294,5e-06
1,0.000297,0.0015,0.000297,5e-06
1,0.0003,0.0015,0.0003,5e-06
1,0.000303,0.0015,0.000303,5e-06
1,0.000306,0.0015,0.000306,5e-06
1,0.000309,0.0015,0.000309,5e-06
1,0.000312,0.0015,0.000312,5e-06
1,0.000315,0.0015,0.000315,5e-06
1,0.000318,0.0015,0.000318,5e-06
1,0.000321,0.0015,0.000321,5e-06
1,0.000324,0.0015,0.000324,5e-06
1,0.000327,0.0015,0.000327,5e-06
1,0.00033,0.0015,0.00033,5e-06
1,0.000333,0.0015,0.000333,5e-06
1,0.000336,0.0015,0.000336,5e-06
1,0.000339,0.0015,0.000339,5e-06
1,0.000342,0.0015,0.000342,5e-06
1,0.000345,0.0015,0.000345,5e-06
1,0.000348,0.0015,0.000348,5e-06
1,0.000351,0.0015,0.000351,5e-06
1,0.000354,0.0015,0.000354,5e-06
1,0.000357,0.0015,0.000357,5e-06
1,0.00036,0.0015,0.00036,5e-06
1,0.000363,0.0015,0.000363,5e-06
1,0.000366,0.0015,0.000366,5e-06
1,0.000369,0.0015,0.000369,5e-06
1,0.000372,0.0015,0.000372,5e-06
1,0.000375,0.0015,0.000375,5e-06
1,0.000378,0.0015,0.000378,5e-06
1,0.000381,0.0015,0.000381,5e-06
1,0.000384,0.0015,0.000384,5e-06
1,0.000387,0.0015,0.000387,5e-06
1,0.00039,0.0015,0.00039,5e-06
1,0.000393,0.0015,0.000393,5e-06
1,0.000396,0.0015,0.000396,5e-06
1,0.000399,0.0015,0.000399,5e-06
1,0.000402,0.0015,0.000402,5e-06
1,0.000405,0.0015,0.000405,5e-06
1,0.000408,0.0015,0.000408,5e-06
1,0.000411,0.0015,0.000411,5e-06
1,0.000414,0.0015,0.000414,5e-06
1,0.000417,0.0015,0.000417,5e-06
1,0.00042,0.0015,0.00042,5e-06
1,0.000423,0.0015,0.000423,5e-06
1,0.000426,0.0015,0.000426,5e-06
1,0.000429,0.0015,0.000429,5e-06
1,0.000432,0.0015,0.000432,5e-06
1,0.000435,0.0015,0.000435,5e-06
1,0.000438,0.0015,0.000438,5e-06
1,0.000441,0.0015,0.000441,5e-06
1,0.000444,0.0015,0.000444,5e-06
1,0.000447,0.0015,0.000447,5e-06
1,0.00045,0.0015,0.00045,5e-06
1,0.000453,0.0015,0.000453,5e-06
1,0.000456,0.0015,0.000456,5e-06
1,0.000459,0.0015,0.000459,5e-06
1,0.000462,0.0015,0.000462,5e-06
1,0.000465,0.0015,0.000465,5e-06
1,0.000468,0.0015,0.000468,5e-06
1,0.000471,0.0015,0.000471,5e-06
1,0.000474,0.0015,0.000474,5e-06
1,0.000477,0.0015,0.000477,5e-06
1,0.00048,0.0015,0.00048,5e-06
1,0.000483,0.0015,0.000483,5e-06
1,0.000486,0.0015,0.000486,5e-06
1,0.000489,0.0015,0.000489,5e-06
1,0.000492,0.0015,0.000492,5e-06
1,0.000495,0.0015,0.000495,5e-06
1,0.000498,0.0015,0.000498,5e-06
1,0.000501,0.0015,0.000501,5e-06
1,0.000504,0.0015,0.000504,5e-06
1,0.000507,0.0015,0.000507,5e-06
1,0.00051,0.0015,0.00051,5e-06
1,0.000513,0.0015,0.000513,5e-06
1,0.000516,0.0015,0.000516,5e-06
1,0.000519,0.0015,0.000519,5e-06
1,0.000522,0.0015,0.000522,5e-06
1,0.000525,0.0015,0.000525,5e-06
1,0.000528,0.0015,0.000528,5e-06
1,0.000531,0.0015,0.000531,5e-06
1,0.000534,0.0015,0.000534,5e-06
1,0.000537,0.0015,0.000537,5e-06
1,0.00054,0.0015,0.00054,5e-06
1,0.000543,0.0015,0.000543,5e-06
1,0.000546,0.0015,0.000546,5e-06
1,0.000549,0.0015,0.000549,5e-06
1,0.000552,0.0015,0.000552,5e-06
1,0.000555,0.0015,0.000555,5e-06
1,0.000558,0.0015,0.000558,5e-06
1,0.000561,0.0015,0.000561,5e-06
1,0.000564,0.0015,0.000564,5e-06
1,0.000567,0.0015,0.000567,5e-06
1,0.00057,0.0015,0.00057,5e-06
1,0.000573,0.0015,0.000573,5e-06
1,0.000576,0.0015,0.000576,5e-06
1,0.000579,0.0015,0.000579,5e-06
1,0.000582,0.0015,0.000582,5e-06
1,0.000585,0.0015,0.000585,5e-06
1,0.000588,0.0015,0.000588,5e-06
1,0.000591,0.0015,0.000591,5e-06
1,0.000594,0.0015,0.000594,5e-06
1,0.000597,0.0015,0.000597,5e-06
1,0.0006,0.0015,0.0006,5e-06
1,0.000603,0.0015,0.000603,5e-06
1,0.000606,0.0015,0.000606,5e-06
1,0.000609,0.0015,0.000609,5e-06
1,0.000612,0.0015,0.000612,5e-06
1,0.000615,0.0015,0.000615,5e-06
1,0.000618,0.0015,0.000618,5e-06
1,0.000621,0.0015,0.000621,5e-06
1,0.000624,0.0015,0.000624,5e-06
1,0.000627,0.0015,0.000627,5e-06
1,0.00063,0.0015,0.00063,5e-06
1,0.000633,0.0015,0.000633,5e-06
1,0.000636,0.0015,0.000636,5e-06
1,0.000639,0.0015,0.000639,5e-06
1,0.000642,0.0015,0.000642,5e-06
1,0.000645,0.0015,0.000645,5e-06
1,0.000648,0.0015,0.000648,5e-06
1,0.000651,0.0015,0.000651,5e-06
1,0.000654,0.0015,0.000654,5e-06
1,0.000657,0.0015,0.000657,5e-06
1,0.00066,0.0015,0.00066,5e-06
1,0.000663,0.0015,0.000663,5e-06
1,0.000666,0.0015,0.000666,5e-06
1,0.000669,0.0015,0.000669,5e-06
1,0.000672,0.0015,0.000672,5e-06
1,0.000675,0.0015,0.000675,5e-06
1,0.000678,0.0015,0.000678,5e-06
1,0.000681,0.0015,0.000681,5e-06
1,0.000684,0.0015,0.000684,5e-06
1,0.000687,0.0015,0.000687,5e-06
1,0.00069,0.0015,0.00069,5e-06
1,0.000693,0.0015,0.000693,5e-06
1,0.000696,0.0015,0.000696,5e-06
1,0.000699,0.0015,0.000699,5e-06
1,0.000702,0.0015,0.000702,5e-06
1,0.000705,0.0015,0.000705,5e-06
1,0.000708,0.0015,0.000708,5e-06
1,0.000711,0.0015,0.000711,5e-06
1,0.000714,0.0015,0.000714,5e-06
1,0.000717,0.0015,0.000717,5e-06
1,0.00072,0.0015,0.00072,5e-06
1,0.000723,0.0015,0.000723,5e-06
1,0.000726,0.0015,0.000726,5e-06
1,0.000729,0.0015,0.000729,5e-06
1,0.000732,0.0015,0.000732,5e-06
1,0.000735,0.0015,0.000735,5e-06
1,0.000738,0.0015,0.000738,5e-06
1,0.000741,0.0015,0.000741,5e-06
1,0.000744,0.0015,0.000744,5e-06
1,0.000747,0.0015,0.000747,5e-06
1,0.00075,0.0015,0.00075,5e-06
1,0.000753,0.0015,0.000753,5e-06
1,0.000756,0.0015,0.000756,5e-06
1,0.000759,0.0015,0.000759,5e-06
1,0.000762,0.0015,0.000762,5e-06
1,0.000765,0.0015,0.000765,5e-06
1,0.000768,0.0015,0.000768,5e-06
1,0.000771,0.0015,0.000771,5e-06
1,0.000774,0.0015,0.000774,5e-06
1,0.000777,0.0015,0.000777,5e-06
1,0.00078,0.0015,0.00078,5e-06
1,0.000783,0.0015,0.000783,5e-06
1,0.000786,0.0015,0.000786,5e-06
1,0.000789,0.0015,0.000789,5e-06
1,0.000792,0.0015,0.000792,5e-06
1,0.000795,0.0015,0.000795,5e-06
1,0.000798,0.0015,0.000798,5e-06
1,0.000801,0.0015,0.000801,5e-06
1,0.000804,0.0015,0.000804,5e-06
1,0.000807,0.0015,0.000807,5e-06
1,0.00081,0.0015,0.00081,5e-06
1,0.000813,0.0015,0.000813,5e-06
1,0.000816,0.0015,0.000816,5e-06
1,0.000819,0.0015,0.000819,5e-06
1,0.000822,0.0015,0.000822,5e-06
1,0.000825,0.0015,0.000825,5e-06
1,0.000828,0.0015,0.000828,5e-06
1,0.000831,0.0015,0.000831,5e-06
1,0.000834,0.0015,0.000834,5e-06
1,0.000837,0.0015,0.000837,5e-06
1,0.00084,0.0015,0.00084,5e-06
1,0.000843,0.0015,0.000843,5e-06
1,0.000846,0.0015,0.000846,5e-06
1,0.000849,0.0015,0.000849,5e-06
1,0.000852,0.0015,0.000852,5e-06
1,0.000855,0.0015,0.000855,5e-06
1,0.000858,0.0015,0.000858,5e-06
1,0.000861,0.0015,0.000861,5e-06
1,0.000864,0.0015,0.000864,5e-06
1,0.000867,0.0015,0.000867,5e-06
1,0.00087,0.0015,0.00087,5e-06
1,0.000873,0.0015,0.000873,5e-06
1,0.000876,0.0015,0.000876,5e-06
1,0.000879,0.0015,0.000879,5e-06
