"D_X","E850","SI","SLambda_0","Su","U:0","U:1","U:2","XI","XI_VS","XPB","XPB_alpha","XS","XS_VS","XS_alpha","alpha.water","sourceXI_alpha","sumParticulates","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.728e-11,0.0099744,0.21442,1604.2,0,-9.7193e-14,1.3919e-14,0,6.973,6.5168,65.709,0.83833,6.0672,5.6703,0.077406,0,2.7509e-07,1.0047,1,0,0.0015,0,5e-06
1.728e-11,0.010235,0.21442,1604.2,0,-1.5766e-13,4.8254e-14,0,6.973,6.5168,65.709,0.83833,6.0672,5.6702,0.077406,0,2.7509e-07,1.0047,1,3e-06,0.0015,3e-06,5e-06
1.728e-11,0.010496,0.21442,1604.2,0,-2.1813e-13,8.2588e-14,0,6.973,6.5168,65.709,0.83833,6.0672,5.6702,0.077406,0,2.7509e-07,1.0047,1,6e-06,0.0015,6e-06,5e-06
1.728e-11,0.010837,0.21442,1604.2,0,-3.1596e-13,1.4823e-13,0,6.9729,6.5168,65.709,0.83833,6.0671,5.6702,0.077405,0,2.7509e-07,1.0047,1,9e-06,0.0015,9e-06,5e-06
1.728e-11,0.011259,0.21442,1604.2,0,-4.5114e-13,2.4517e-13,0,6.9729,6.5167,65.709,0.83833,6.0671,5.6702,0.077405,0,2.7509e-07,1.0047,1,1.2e-05,0.0015,1.2e-05,5e-06
1.728e-11,0.011681,0.21442,1604.2,0,-5.8633e-13,3.4211e-13,0,6.9729,6.5167,65.71,0.83833,6.0671,5.6702,0.077405,0,2.7508e-07,1.0047,1,1.5e-05,0.0015,1.5e-05,5e-06
1.728e-11,0.012044,0.21442,1604.2,0,-7.4001e-13,4.9104e-13,0,6.9728,6.5167,65.71,0.83833,6.0671,5.6702,0.077404,0,2.7508e-07,1.0047,1,1.8e-05,0.0015,1.8e-05,5e-06
1.728e-11,0.012408,0.21442,1604.2,0,-8.9369e-13,6.3997e-13,0,6.9728,6.5166,65.71,0.83833,6.067,5.6701,0.077404,0,2.7508e-07,1.0047,1,2.1e-05,0.0015,2.1e-05,5e-06
1.728e-11,0.012797,0.21441,1604.2,0,-1.0493e-12,8.1e-13,0,6.9727,6.5166,65.71,0.83834,6.067,5.6701,0.077403,0,2.7508e-07,1.0047,1,2.4e-05,0.0015,2.4e-05,5e-06
1.728e-11,0.013212,0.21441,1604.2,0,-1.2067e-12,1.0011e-12,0,6.9727,6.5165,65.71,0.83834,6.0669,5.67,0.077403,0,2.7508e-07,1.0047,1,2.7e-05,0.0015,2.7e-05,5e-06
1.728e-11,0.013627,0.21441,1604.2,0,-1.3642e-12,1.1923e-12,0,6.9726,6.5165,65.71,0.83834,6.0669,5.67,0.077402,0,2.7507e-07,1.0047,1,3e-05,0.0015,3e-05,5e-06
1.728e-11,0.014072,0.21441,1604.2,0,-1.5199e-12,1.4165e-12,0,6.9725,6.5164,65.711,0.83835,6.0668,5.6699,0.077401,0,2.7507e-07,1.0047,1,3.3e-05,0.0015,3.3e-05,5e-06
