# Region      : all 
# Cells       : 160000
# Volume      : 9.000000e-11
# Time        	volAverage(E850)	volAverage(sourceXPB_alpha)
0             
0             
21600         	1.491632e+01	8.946844e-08
43200         	1.490238e+01	9.794463e-08
64800         	1.488632e+01	1.079762e-07
86400         	1.486827e+01	1.181218e-07
108000        	1.484808e+01	1.283914e-07
129600        	1.482580e+01	1.388638e-07
151200        	1.480148e+01	1.429085e-07
172800        	1.477497e+01	1.530037e-07
194400        	1.474609e+01	1.635490e-07
216000        	1.471494e+01	1.733192e-07
237600        	1.468118e+01	1.835756e-07
259200        	1.464476e+01	2.039806e-07
280800        	1.460548e+01	2.050960e-07
302400        	1.456293e+01	2.258942e-07
324000        	1.451788e+01	2.261953e-07
345600        	1.446995e+01	2.485302e-07
367200        	1.441909e+01	2.550425e-07
388800        	1.436570e+01	2.633640e-07
410400        	1.430944e+01	2.776774e-07
432000        	1.425017e+01	2.891795e-07
453600        	1.418792e+01	2.969585e-07
475200        	1.412276e+01	3.076293e-07
496800        	1.405457e+01	3.213526e-07
518400        	1.398329e+01	3.293682e-07
540000        	1.390841e+01	3.413999e-07
561600        	1.382946e+01	3.546728e-07
583200        	1.374631e+01	3.638391e-07
604800        	1.366005e+01	3.759701e-07
626400        	1.357122e+01	3.856472e-07
648000        	1.347988e+01	3.939898e-07
669600        	1.338935e+01	4.012222e-07
691200        	1.330190e+01	4.011926e-07
712800        	1.318906e+01	3.988891e-07
734400        	1.307892e+01	3.913909e-07
756000        	1.296678e+01	3.845427e-07
777600        	1.285552e+01	3.806941e-07
799200        	1.274529e+01	3.802304e-07
820800        	1.263343e+01	3.801194e-07
842400        	1.252038e+01	3.817081e-07
864000        	1.240069e+01	3.799109e-07
